Date,Open,High,Low,Close,Volume,Turnover
2014-02-14,23.955,24.09,23.875,23.96,112257.0,2690823.825
2014-02-17,23.99,24.21,23.925,24.12,140913.0,3396914.56
2014-02-18,24.12,24.12,23.82,23.99,169511.0,4060882.35
2014-02-19,23.88,23.965,23.71,23.775,143329.0,3412092.76
2014-02-20,23.61,23.72,23.555,23.665,111246.0,2630200.745
2014-02-21,23.74,23.82,23.62,23.715,123793.0,2935697.82
2014-02-24,23.715,23.815,23.625,23.76,132331.0,3140268.225
2014-02-25,23.785,23.865,23.64,23.755,168405.0,4000691.91
2014-02-26,24.0,24.025,23.42,23.73,326538.0,7724690.45
2014-02-27,23.94,24.085,23.63,24.055,279110.0,6684532.83
2014-02-28,24.1,24.585,24.095,24.495,249143.0,6080392.48
2014-03-05,24.345,24.64,24.315,24.575,287079.0,7030595.225
2014-03-06,24.7,25.35,24.675,25.27,331160.0,8331445.195
2014-03-07,25.25,25.5,25.03,25.155,223016.0,5634651.27
2014-03-10,25.185,25.455,24.825,25.09,218770.0,5496695.11
2014-03-11,25.085,25.12,24.88,24.995,116060.0,2901049.56
2014-03-12,24.935,24.95,24.475,24.77,144712.0,3574798.235
2014-03-13,24.86,24.86,24.365,24.41,152253.0,3731034.88
2014-03-14,24.195,24.2,23.665,24.035,218004.0,5221387.77
2014-03-17,24.0,24.69,23.97,24.525,177071.0,4331023.26
2014-03-18,24.575,24.81,24.35,24.81,130365.0,3220604.97
2014-03-19,24.84,25.0,24.705,24.825,123992.0,3083395.15
2014-03-20,24.65,24.76,24.445,24.695,105145.0,2588872.485
2014-03-21,24.75,24.93,24.705,24.76,239183.0,5928989.75
2014-03-24,24.715,24.81,24.245,24.44,185163.0,4530760.14
2014-03-25,24.415,24.835,24.415,24.71,102742.0,2537763.82
2014-03-26,24.77,25.14,24.77,25.03,126668.0,3169662.82
2014-03-27,24.95,25.075,24.805,24.945,81862.0,2039478.1
2014-03-28,25.0,25.285,24.895,25.23,119748.0,3019393.58
2014-03-31,25.3,25.475,25.265,25.3,180747.0,4579878.625
2014-04-01,25.355,25.75,25.35,25.63,255035.0,6528035.87
2014-04-02,25.73,25.83,25.655,25.79,145126.0,3739923.13
2014-04-03,25.85,25.88,25.56,25.56,119296.0,3059320.8
2014-04-04,25.67,25.85,25.61,25.725,90635.0,2331951.89
2014-04-07,25.52,25.645,25.335,25.47,105292.0,2684812.235
2014-04-08,25.48,25.52,24.885,25.41,173297.0,4370430.47
2014-04-09,25.4,25.82,25.385,25.485,107317.0,2744028.73
2014-04-10,25.635,25.9,25.345,25.405,128630.0,3289762.74
2014-04-11,25.17,25.17,24.56,24.93,287462.0,7128318.96
2014-04-14,24.84,24.84,24.09,24.41,157796.0,3846698.06
2014-04-15,24.46,24.625,24.01,24.115,130664.0,3160616.4
2014-04-16,24.355,24.62,24.16,24.425,140108.0,3420413.69
2014-04-17,24.45,24.52,24.31,24.435,243482.0,5950635.11
2014-04-22,24.45,24.845,24.305,24.655,395395.0,9698019.25
2014-04-23,24.67,24.79,24.54,24.635,140127.0,3453139.62
2014-04-24,24.355,24.5,24.055,24.245,256134.0,6215766.62
2014-04-25,24.105,24.255,23.99,24.05,176151.0,4238914.71
2014-04-28,24.1,24.235,23.77,23.935,114269.0,2745355.6
2014-04-29,23.875,24.135,23.875,23.945,105053.0,2519925.32
2014-04-30,23.9,24.0,23.68,23.985,96929.0,2316667.89
2014-05-02,24.01,24.09,23.905,23.995,73471.0,1762982.77
2014-05-05,23.95,23.95,23.54,23.82,144953.0,3433126.875
2014-05-06,23.78,23.99,23.775,23.88,193772.0,4633887.68
2014-05-07,23.76,23.985,23.48,23.57,202305.0,4790880.85
2014-05-08,23.625,23.935,23.625,23.81,165656.0,3942636.71
2014-05-09,23.88,24.075,23.78,24.005,107442.0,2575420.35
2014-05-12,24.045,24.5,24.015,24.415,221336.0,5386895.91
2014-05-13,24.5,24.7,24.43,24.54,135281.0,3320231.81
2014-05-14,24.74,24.8,24.43,24.495,100803.0,2476044.39
2014-05-16,24.3,24.36,23.71,23.76,206462.0,4931262.15
2014-05-19,23.945,24.135,23.615,23.655,195689.0,4661578.44
2014-05-20,23.69,24.045,23.67,23.885,197976.0,4725381.81
2014-05-21,23.76,23.895,23.52,23.855,242659.0,5772395.34
2014-05-22,23.89,23.99,23.85,23.875,110513.0,2643538.1
2014-05-23,23.82,23.985,23.82,23.985,128719.0,3079290.18
2014-05-26,23.965,24.435,23.965,24.31,91047.0,2209294.03
2014-05-28,24.28,24.35,24.22,24.345,91607.0,2226186.12
2014-05-29,24.35,24.385,24.205,24.265,45309.0,1099661.58
2014-05-30,24.265,24.385,24.135,24.135,150374.0,3639754.69
2014-06-02,24.2,24.35,24.06,24.16,173838.0,4204386.495
2014-06-03,24.16,24.245,24.04,24.205,300171.0,7261867.155
2014-06-04,24.285,24.4,24.155,24.38,120363.0,2924443.685
2014-06-05,24.38,24.48,24.2,24.36,117050.0,2850588.53
2014-06-06,24.45,24.74,24.355,24.68,171097.0,4217745.12
2014-06-09,24.66,24.89,24.66,24.845,85210.0,2115533.96
2014-06-10,24.945,24.955,24.745,24.85,95232.0,2365369.365
2014-06-11,24.85,24.875,24.625,24.715,112937.0,2791296.73
2014-06-12,24.705,24.85,24.595,24.85,154286.0,3815480.95
2014-06-13,24.725,24.785,24.55,24.72,139648.0,3441582.135
2014-06-16,24.605,24.76,24.5,24.545,68537.0,1683336.13
2014-06-17,24.65,24.79,24.51,24.56,104808.0,2576692.28
2014-06-18,24.46,24.635,24.45,24.55,91576.0,2248904.2
2014-06-19,24.74,24.96,24.725,24.8,193850.0,4813069.335
2014-06-20,24.76,24.99,24.76,24.99,194318.0,4847945.085
2014-06-23,24.955,24.995,24.75,24.78,86462.0,2145539.145
2014-06-24,24.795,24.945,24.6,24.65,116847.0,2885632.125
2014-06-25,24.52,24.52,24.01,24.3,184865.0,4488079.935
2014-06-26,24.285,24.405,23.94,24.12,147821.0,3570502.515
2014-06-27,24.12,24.17,23.675,23.915,263588.0,6292637.275
2014-06-30,23.94,24.085,23.76,23.845,131321.0,3133465.12
2014-07-01,23.84,23.92,23.67,23.74,264508.0,6280218.405
2014-07-02,23.75,23.845,23.35,23.825,212021.0,5022957.73
2014-07-03,23.8,23.92,23.525,23.805,178782.0,4255536.6
2014-07-04,23.95,24.1,23.635,24.0,669313.0,15983795.945
2014-07-07,23.95,24.1,23.6,23.685,597740.0,14260800.535
2014-07-08,23.7,23.88,23.355,23.61,414796.0,9779363.925
2014-07-09,23.615,23.78,23.34,23.405,193435.0,4550829.575
2014-07-10,23.4,23.44,22.69,22.765,223348.0,5124502.855
2014-07-11,22.7,23.13,22.7,23.08,150265.0,3457783.75
2014-07-14,23.135,23.385,23.135,23.265,120760.0,2813119.115
2014-07-15,23.3,23.32,22.86,23.09,246853.0,5687924.87
2014-07-16,23.15,23.56,23.035,23.505,138539.0,3243441.705
2014-07-17,23.435,23.525,23.27,23.485,177109.0,4145413.689
2014-07-18,23.32,23.44,23.03,23.27,109303.0,2538565.76
2014-07-21,23.265,23.33,23.085,23.245,101730.0,2360118.85
2014-07-22,23.25,23.735,23.25,23.65,198691.0,4681280.22
2014-07-23,23.625,23.82,23.59,23.76,122919.0,2919161.655
2014-07-24,23.75,24.015,23.7,23.95,107935.0,2581701.54
2014-07-25,23.985,23.985,23.7,23.77,71192.0,1691656.55
2014-07-28,23.81,23.855,23.445,23.57,104035.0,2453049.655
2014-07-29,23.685,23.685,23.29,23.42,146558.0,3433796.815
2014-07-30,23.39,23.45,23.165,23.25,105599.0,2457391.76
