Date,Open,High,Low,Close,Volume,Turnover
2015-11-20,18.18,18.43,18.0,18.35,38392898.0,700328134.96
2015-11-23,18.45,18.7,18.215,18.61,3352514.0,61864463.56
2015-11-24,18.7,18.8,18.37,18.8,4871901.0,89940871.57
2015-11-25,18.85,19.5,18.77,19.45,4802607.0,91538622.28
2015-11-26,19.48,19.67,19.41,19.43,1648481.0,32207128.66
2015-11-27,19.45,19.79,19.255,19.65,1428854.0,27831644.01
2015-11-30,19.74,19.94,19.55,19.88,5982957.0,118757206.57
2015-12-01,19.9,19.95,19.6,19.7,1511970.0,29823250.63
2015-12-02,19.645,19.89,19.52,19.8,4623032.0,91481042.56
2015-12-03,19.75,19.94,19.185,19.35,1707701.0,33453941.44
2015-12-04,19.4,19.585,19.28,19.425,1096498.0,21355792.86
2015-12-07,19.5,19.85,19.425,19.7,2559985.0,50607998.75
2015-12-08,19.75,19.75,19.05,19.185,975463.0,18835914.36
2015-12-09,19.4,19.47,19.11,19.235,696757.0,13441929.89
2015-12-10,19.26,19.555,19.25,19.31,726421.0,14082299.73
2015-12-11,19.375,19.4,19.06,19.35,699670.0,13485342.32
2015-12-14,19.35,19.59,19.15,19.19,536032.0,10356451.61
2015-12-15,19.33,19.49,19.155,19.155,542349.0,10446758.13
2015-12-16,19.24,19.33,19.07,19.19,549069.0,10531098.22
2015-12-17,19.275,19.81,19.27,19.7,760246.0,14935714.73
2015-12-18,19.65,20.0,19.55,20.0,1299310.0,25677859.66
2015-12-21,19.91,20.0,19.82,19.96,692244.0,13814785.2
2015-12-22,19.95,20.065,19.69,20.01,496124.0,9897838.7
2015-12-23,20.1,20.415,20.09,20.395,512478.0,10385465.38
2015-12-24,20.45,20.46,20.245,20.4,189821.0,3868881.6
2015-12-28,20.4,20.45,20.2,20.26,140675.0,2859498.7
2015-12-29,20.35,20.76,20.275,20.76,630806.0,12992518.98
2015-12-30,20.71,20.8,20.57,20.795,310286.0,6421913.25
2015-12-31,20.64,20.745,20.6,20.67,35056.0,724017.41
2016-01-04,20.6,21.0,20.56,20.67,898265.0,18634998.8
2016-01-05,20.87,20.9,20.55,20.63,847726.0,17527757.31
