Date,Open,High,Low,Close,Volume,Turnover
2016-07-25,21.85,22.17,21.75,21.96,4718665.0,103615499.195
2016-07-26,21.95,22.075,21.815,22.025,7761733.0,170884571.795
2016-07-27,22.085,22.15,21.68,21.68,4098608.0,89410857.41
2016-07-28,21.725,21.95,21.32,21.32,5344409.0,115079075.655
2016-07-29,21.385,21.41,21.12,21.36,5285097.0,112621080.13
2016-08-01,21.445,21.57,21.25,21.315,3153179.0,67325910.7
2016-08-02,21.21,21.445,21.095,21.25,4259659.0,90498236.905
2016-08-03,21.255,21.265,21.01,21.085,3838712.0,81096311.715
2016-08-04,21.205,21.245,20.9,21.175,3515787.0,74257714.64
2016-08-05,21.19,21.41,21.11,21.3,3135373.0,66633336.015
2016-08-08,21.19,21.36,21.155,21.205,2068763.0,43925260.335
2016-08-09,21.195,21.54,21.19,21.52,2680005.0,57368607.87
2016-08-10,21.38,21.58,21.38,21.52,2341543.0,50341606.56
2016-08-11,21.6,21.85,21.53,21.85,2849958.0,62080621.005
2016-08-12,21.86,21.915,21.76,21.835,1979492.0,43263081.005
2016-08-15,21.895,21.895,21.69,21.775,2575154.0,56114610.225
2016-08-16,21.7,21.75,21.595,21.645,3369439.0,72997600.875
2016-08-17,21.675,21.72,21.385,21.385,3325029.0,71404263.51
2016-08-18,21.505,21.585,21.445,21.52,3360479.0,72276934.73
2016-08-19,21.54,21.595,21.4,21.535,3066530.0,65986506.465
2016-08-22,21.47,21.86,21.45,21.605,2230616.0,48283646.185
2016-08-23,21.745,21.825,21.615,21.64,2524575.0,54744857.195
2016-08-24,21.54,21.615,21.44,21.585,3127057.0,67409141.205
2016-08-25,21.75,21.95,21.69,21.72,5190254.0,113247210.1875
2016-08-26,21.7,21.715,21.41,21.645,3357057.0,72364885.775
2016-08-29,21.62,21.72,21.505,21.68,1691985.0,36609508.925
2016-08-30,21.725,21.88,21.66,21.73,3063365.0,66700681.74
2016-08-31,21.67,21.715,21.465,21.465,4277392.0,92148746.64
2016-09-01,21.41,21.735,21.4,21.56,3479002.0,75066870.085
2016-09-02,21.57,22.085,21.48,22.085,4015603.0,88117632.31
2016-09-05,22.105,22.19,21.96,22.04,1986367.0,43812990.245
2016-09-06,22.095,22.155,21.955,21.985,2275733.0,50113460.775
2016-09-07,22.15,22.2,21.925,21.98,2878326.0,63466463.145
2016-09-08,21.925,21.95,21.515,21.515,5143420.0,111274441.22
2016-09-09,21.43,21.455,20.825,20.87,6613557.0,139091520.83
2016-09-12,20.66,20.83,20.515,20.75,4095196.0,84827894.415
2016-09-13,20.89,21.005,20.75,20.77,4258814.0,88862290.055
2016-09-14,20.845,21.095,20.805,20.855,6224422.0,130462699.725
2016-09-15,20.795,21.0,20.715,21.0,5791175.0,121186153.305
2016-09-16,20.975,21.245,20.815,20.92,67770433.0,1418559802.335
2016-09-19,20.99,21.0,20.805,20.895,5457909.0,114138210.585
2016-09-20,20.93,21.14,20.855,21.0,4380329.0,92166955.145
2016-09-21,21.065,21.215,20.855,20.855,4444503.0,93320659.84
2016-09-22,20.955,21.205,20.875,21.0,3992178.0,84066040.125
2016-09-23,20.96,21.025,20.875,20.95,3280869.0,68674097.05
2016-09-26,20.89,20.905,20.5,20.52,3337403.0,68728901.245
2016-09-27,20.615,20.66,20.435,20.545,4678135.0,96109279.965
2016-09-28,20.555,20.69,20.465,20.53,3150224.0,64814085.67
2016-09-29,20.47,20.555,20.11,20.11,6077056.0,123073745.685
2016-09-30,19.96,20.355,19.825,20.29,6863474.0,138004221.09
2016-10-03,20.23,20.375,20.2,20.3,2730227.0,55403004.68
2016-10-04,20.525,21.075,20.51,21.045,7300420.0,152338926.265
2016-10-05,20.935,20.935,20.715,20.72,4658682.0,96844621.535
2016-10-06,20.8,20.805,20.475,20.5,4605801.0,94776660.765
2016-10-07,20.53,20.58,20.0,20.0,5850147.0,117983049.175
2016-10-10,20.105,20.3,19.985,20.29,3779817.0,76288067.595
2016-10-11,20.26,20.315,20.04,20.05,2767104.0,55812654.14
2016-10-12,20.1,20.19,20.0,20.08,3390905.0,68041388.935
2016-10-13,19.95,20.12,19.835,20.05,4121923.0,82516932.725
2016-10-14,20.1,20.555,20.1,20.46,4433995.0,90571633.26
2016-10-17,20.305,20.4,20.215,20.32,3075757.0,62476371.235
2016-10-18,20.37,20.69,20.37,20.59,3973086.0,81764171.48
2016-10-19,20.6,20.815,20.51,20.765,2893318.0,59938713.765
2016-10-20,20.845,20.955,20.7,20.94,3030982.0,63250531.365
2016-10-21,20.965,21.095,20.775,20.815,3311812.0,69271632.345
2016-10-24,20.92,20.995,20.835,20.84,2770894.0,57942255.21
2016-10-25,20.915,20.945,20.625,20.635,2257332.0,46794247.105
2016-10-26,20.6,20.685,20.535,20.625,1991010.0,41058415.79
2016-10-27,20.625,20.845,20.47,20.53,2235138.0,46037427.18
2016-10-28,20.43,20.585,20.225,20.575,3209573.0,65717640.07
2016-10-31,20.59,20.885,20.5,20.795,3935157.0,81698070.11
2016-11-01,20.785,20.86,20.34,20.34,2730878.0,55979219.05
2016-11-02,20.3,20.355,20.16,20.285,3565676.0,72250159.28
2016-11-03,20.22,20.445,20.21,20.28,3267701.0,66317802.48
2016-11-04,20.18,20.255,19.95,19.95,4043777.0,81107357.31
2016-11-07,20.1,20.245,20.05,20.175,3226993.0,65051422.4
2016-11-08,20.15,20.3,20.145,20.27,2817440.0,57028413.42
2016-11-09,19.79,20.34,19.71,20.325,5656126.0,113456206.46
2016-11-10,20.4,20.43,19.585,19.7,6071118.0,120849969.45
2016-11-11,19.6,20.25,19.6,20.21,4648479.0,93296670.51
2016-11-14,20.355,20.5,20.205,20.34,4345737.0,88511164.26
2016-11-15,20.44,20.7,20.44,20.595,4426438.0,91202133.18
2016-11-16,20.6,20.76,20.375,20.645,3946367.0,81260270.93
2016-11-17,20.0,20.25,19.86,19.87,7826482.0,156439114.84
2016-11-18,19.82,19.855,19.38,19.38,7730247.0,150827470.23
2016-11-21,19.41,19.7,19.325,19.68,3558601.0,69681113.71
2016-11-22,19.815,19.85,19.465,19.465,4826849.0,94305347.72
2016-11-23,19.43,19.535,19.24,19.34,4456922.0,86387576.68
2016-11-24,19.375,19.535,19.27,19.46,2012894.0,39121802.99
2016-11-25,19.52,19.615,19.43,19.58,1982733.0,38758859.39
2016-11-28,19.47,19.51,19.075,19.14,4860019.0,93352568.8
2016-11-29,18.835,19.195,18.57,18.92,5985158.0,113412323.66
2016-11-30,18.88,19.06,18.61,18.61,7594878.0,142083297.93
