Date,Open,High,Low,Close,Volume,Turnover
2014-02-14,29.99,29.99,29.68,29.715,162113.0,4821726.605
2014-02-17,29.94,30.28,29.615,30.1,230658.0,6932407.42
2014-02-18,30.815,30.815,29.915,29.95,333026.0,9998166.62
2014-02-19,29.765,30.36,29.6,30.1,171256.0,5137768.54
2014-02-20,29.565,30.015,29.565,29.9,63713.0,1904729.03
2014-02-21,29.95,30.095,29.84,29.96,102134.0,3056396.23
2014-02-24,30.0,31.445,29.995,31.2,426147.0,13137628.386
2014-02-25,31.15,31.465,30.935,31.11,76696.0,2389464.07
2014-02-26,31.25,31.475,30.875,31.35,67510.0,2107596.52
2014-02-27,32.62,33.5,31.255,31.3,93808.0,2957402.075
2014-02-28,31.3,31.61,31.3,31.5,106800.0,3355009.97
2014-03-05,31.6,31.6,31.355,31.41,20749.0,652359.68
2014-03-06,31.5,31.605,29.8,30.1,184958.0,5648305.82
2014-03-07,30.6,30.6,29.3,29.61,72653.0,2188552.72
2014-03-10,29.1,29.115,25.505,27.51,783515.0,21435791.03
2014-03-11,27.51,28.36,27.0,28.2,478697.0,13241148.77
2014-03-12,28.2,28.5,27.93,28.5,416371.0,11675083.89
2014-03-13,29.3,30.5,27.65,27.93,80995.0,2320101.76
2014-03-14,28.5,32.26,26.735,30.0,1075768.0,32626044.8
2014-03-17,30.3,30.75,30.0,30.5,119358.0,3623371.84
2014-03-18,30.51,32.0,30.0,32.0,95738.0,2962943.11
2014-03-19,31.9,33.75,31.9,33.15,114367.0,3793618.73
2014-03-20,33.45,34.0,31.05,32.3,221634.0,7210373.35
2014-03-21,31.99,33.39,31.145,32.32,77463.0,2507335.16
2014-03-24,33.0,33.0,31.2,31.2,25037.0,790088.7
2014-03-25,31.47,32.395,31.285,31.3,10022.0,320114.74
2014-03-26,31.4,32.19,30.785,31.69,95643.0,2999871.705
2014-03-27,31.685,32.4,31.25,32.2,135751.0,4286780.92
2014-03-28,32.5,32.9,30.925,31.7,212752.0,6713450.02
2014-03-31,32.79,32.79,31.255,32.34,154424.0,5003018.9
2014-04-01,32.5,32.7,31.9,32.1,157578.0,5085296.0
2014-04-02,32.0,32.3,31.59,31.85,122023.0,3901243.5
2014-04-03,31.85,32.0,31.25,31.35,141268.0,4447714.19
2014-04-04,31.3,32.0,29.31,30.14,202313.0,6235994.9
2014-04-07,32.8,34.0,31.76,33.6,440010.0,14572735.23
2014-04-08,33.99,35.64,33.25,35.24,194264.0,6595737.96
2014-04-09,35.66,37.375,35.4,35.6,86978.0,3137608.27
2014-04-10,36.44,36.44,35.085,35.5,64063.0,2263444.83
2014-04-11,35.4,35.83,34.955,35.45,31689.0,1120724.21
2014-04-14,36.195,36.195,35.4,35.52,21999.0,780634.64
2014-04-15,35.5,36.0,35.495,35.6,55011.0,1959290.54
2014-04-16,36.15,36.15,35.54,35.6,72384.0,2590760.94
2014-04-17,36.0,37.15,35.73,36.13,90866.0,3295904.07
2014-04-22,36.98,37.8,36.0,37.8,65226.0,2421566.46
2014-04-23,37.4,40.25,37.4,40.0,153119.0,6002046.04
2014-04-24,41.6,42.07,39.7,41.4,119698.0,4898643.85
2014-04-25,41.4,42.0,40.345,41.77,76055.0,3146044.32
2014-04-28,42.0,42.39,41.11,41.4,70240.0,2912048.64
2014-04-29,41.325,41.57,41.11,41.12,31023.0,1284106.96
2014-04-30,40.965,41.365,40.105,41.19,97228.0,3994591.05
2014-05-02,41.3,43.66,41.135,41.65,104111.0,4332637.01
2014-05-05,42.01,42.9,41.0,42.0,125434.0,5179853.845
2014-05-06,41.72,43.605,41.69,43.42,67784.0,2876368.25
2014-05-07,43.42,44.64,43.155,43.99,86955.0,3812846.93
2014-05-08,43.99,44.0,42.42,43.39,45916.0,1989262.395
2014-05-09,43.565,43.87,42.965,43.75,32356.0,1402221.75
2014-05-12,43.3,45.055,42.53,44.9,117335.0,5153150.92
2014-05-13,45.14,45.495,44.69,44.915,46486.0,2095712.41
2014-05-14,45.255,45.5,43.24,44.3,120679.0,5373571.38
2014-05-16,48.745,48.745,45.4,46.295,178830.0,8241100.42
2014-05-19,46.115,47.01,45.655,46.54,187170.0,8682583.46
2014-05-20,46.3,48.335,46.3,48.0,381259.0,18096490.63
2014-05-21,49.935,49.935,48.22,49.65,160812.0,7910770.81
2014-05-22,49.5,50.71,49.415,50.0,254940.0,12757287.82
2014-05-23,50.22,51.2,49.95,51.0,142502.0,7202791.45
2014-05-26,51.13,51.54,50.18,51.23,49580.0,2521997.67
2014-05-28,51.53,51.53,49.8,51.1,237005.0,12081119.79
2014-05-29,51.2,52.6,50.66,51.77,169450.0,8811715.71
2014-05-30,52.9,54.0,51.87,53.3,4719165.0,251226976.08
2014-06-02,53.0,54.77,52.32,54.5,309113.0,16503999.18
2014-06-03,54.32,57.01,53.76,55.4,302534.0,16697297.13
2014-06-04,55.35,55.5,54.45,55.5,320185.0,17667767.89
2014-06-05,55.48,55.83,54.75,55.45,245196.0,13547445.47
2014-06-06,55.47,56.63,55.0,56.18,251722.0,14154732.01
2014-06-09,55.8,56.34,55.8,56.0,85522.0,4794621.48
2014-06-10,55.82,56.2,55.5,55.6,122993.0,6854110.03
2014-06-11,55.6,55.6,51.89,52.3,299104.0,15938229.71
2014-06-12,52.8,53.15,52.1,52.3,106561.0,5587418.68
