Date,Open,High,Low,Close,Volume,Turnover
2014-02-14,48.4,49.17,48.01,49.035,1192676.0,58277965.8
2014-02-17,49.2,49.495,49.145,49.18,746275.0,36781096.23
2014-02-18,49.295,49.4,48.295,48.555,1135857.0,55312144.08
2014-02-19,48.1,48.77,48.1,48.49,891692.0,43211852.2
2014-02-20,48.15,48.27,47.56,48.0,1251231.0,60136525.54
2014-02-21,48.245,48.34,47.615,47.835,1130078.0,54204591.25
2014-02-24,47.8,48.175,47.45,47.715,1162716.0,55521137.605
2014-02-25,47.84,47.94,46.925,47.165,1565401.0,73902203.84
2014-02-26,47.76,48.215,46.845,47.17,1711114.0,81134506.17
2014-02-27,47.355,47.415,45.62,45.955,2326396.0,107032307.895
2014-02-28,46.0,46.39,45.855,46.295,1024573.0,47306948.2
2014-03-05,47.15,47.94,47.055,47.89,1015009.0,48361982.58
2014-03-06,47.835,48.11,47.565,47.66,920063.0,43983753.3
2014-03-07,47.575,47.79,47.45,47.505,771219.0,36682131.65
2014-03-10,47.475,47.975,47.365,47.515,815005.0,38777313.29
2014-03-11,47.56,47.62,47.29,47.46,620694.0,29461321.55
2014-03-12,47.25,47.325,46.67,47.245,850830.0,40034579.425
2014-03-13,47.245,47.575,46.61,46.705,945840.0,44530738.92
2014-03-14,46.38,46.56,46.15,46.44,919637.0,42635333.62
2014-03-17,46.495,46.95,46.15,46.77,736341.0,34380650.74
2014-03-18,46.61,46.755,46.2,46.6,923997.0,42966460.24
2014-03-19,46.675,46.92,46.315,46.76,661215.0,30860305.975
2014-03-20,46.6,46.82,46.375,46.765,627811.0,29289690.19
2014-03-21,46.8,47.51,46.77,47.405,1245110.0,58832403.72
2014-03-24,47.625,47.895,47.175,47.77,928162.0,44203424.16
2014-03-25,47.67,48.79,47.56,48.73,1059677.0,51345524.91
2014-03-26,48.9,49.8,48.73,49.725,1200785.0,59460583.705
2014-03-27,49.66,49.915,49.42,49.775,866480.0,43130770.62
2014-03-28,49.815,50.05,49.61,49.65,686582.0,34171959.19
2014-03-31,49.875,49.95,49.565,49.815,686580.0,34178929.545
2014-04-01,49.83,50.33,49.655,50.25,686209.0,34380654.76
2014-04-02,50.19,50.71,50.1,50.71,800934.0,40418729.78
2014-04-03,50.57,50.74,50.31,50.56,570098.0,28784836.97
2014-04-04,50.61,50.65,50.09,50.16,681496.0,34266919.07
2014-04-07,50.0,50.02,49.555,49.83,534027.0,26585745.44
2014-04-08,50.0,50.01,49.435,49.985,765024.0,38096952.47
2014-04-09,49.945,50.13,49.68,49.97,428039.0,21373601.59
