Date,Open,High,Low,Close,Adj Close,Volume
2005-05-06,7.28,7.7,7.15,7.29,7.29,226900.0
2005-05-09,7.35,7.35,7.0,7.03,7.03,87400.0
2005-05-10,7.01,7.08,7.0,7.0,7.0,44500.0
2005-05-11,7.05,7.05,6.95,7.04,7.04,14100.0
2005-05-12,6.97,7.07,6.97,7.04,7.04,9300.0
2005-05-13,7.02,7.02,6.9,7.0,7.0,7200.0
2005-05-16,6.99,6.99,6.95,6.95,6.95,1600.0
2005-05-17,6.97,6.99,6.97,6.99,6.99,7200.0
2005-05-18,6.95,6.95,6.8,6.85,6.85,4900.0
2005-05-19,6.75,6.83,6.66,6.83,6.83,7600.0
2005-05-20,6.68,6.8,6.68,6.75,6.75,1700.0
2005-05-23,6.78,6.8,6.7,6.8,6.8,4300.0
2005-05-24,6.69,6.85,6.69,6.83,6.83,7000.0
2005-05-25,6.83,6.9,6.8,6.8,6.8,6800.0
2005-05-26,6.8,7.07,6.8,7.06,7.06,17200.0
2005-05-27,7.07,7.15,6.95,7.15,7.15,36600.0
2005-05-30,7.08,7.2,7.0,7.0,7.0,7700.0
2005-05-31,7.1,7.1,7.0,7.0,7.0,1000.0
2005-06-01,7.0,7.0,6.9,6.9,6.9,100.0
2005-06-02,7.0,7.05,6.9,6.9,6.9,52400.0
2005-06-06,7.0,7.0,6.9,7.0,7.0,2400.0
2005-06-07,7.05,7.05,6.85,6.85,6.85,3200.0
2005-06-08,6.95,6.95,6.8,6.8,6.8,2100.0
2005-06-09,6.75,6.95,6.65,6.95,6.95,2700.0
2005-06-10,6.85,6.85,6.85,6.85,6.85,300.0
2005-06-13,6.65,6.85,6.65,6.65,6.65,4600.0
2005-06-14,6.65,6.78,6.55,6.78,6.78,8000.0
2005-06-15,6.7,6.75,6.7,6.75,6.75,400.0
2005-06-16,6.75,6.75,6.49,6.6,6.6,12000.0
2005-06-17,6.55,6.6,6.45,6.6,6.6,4100.0
2005-06-20,6.61,6.9,6.61,6.85,6.85,14100.0
2005-06-21,6.9,6.98,6.81,6.95,6.95,12400.0
2005-06-22,6.9,6.95,6.86,6.95,6.95,11700.0
2005-06-23,6.9,6.95,6.82,6.95,6.95,6000.0
2005-06-24,6.95,6.95,6.9,6.95,6.95,3300.0
2005-06-27,6.95,6.95,6.9,6.95,6.95,5300.0
2005-06-28,6.98,7.1,6.91,7.02,7.02,28600.0
2005-06-29,7.08,7.2,6.99,7.03,7.03,22000.0
2005-06-30,7.05,7.1,7.0,7.1,7.1,13400.0
2005-07-01,7.15,7.2,7.1,7.15,7.15,22200.0
2005-07-04,7.18,7.18,7.1,7.15,7.15,12000.0
2005-07-05,7.12,7.13,7.05,7.1,7.1,7300.0
2005-07-06,7.15,7.47,7.15,7.25,7.25,80200.0
2005-07-07,7.39,7.4,6.86,7.15,7.15,17500.0
2005-07-08,7.25,7.4,7.15,7.35,7.35,7200.0
2005-07-11,7.4,7.4,7.3,7.35,7.35,7000.0
2005-07-12,7.35,7.35,7.25,7.25,7.25,4100.0
2005-07-13,7.25,7.35,7.2,7.35,7.35,2400.0
2005-07-14,7.35,7.4,7.32,7.4,7.4,7700.0
2005-07-15,7.45,7.6,7.4,7.6,7.6,24500.0
2005-07-18,7.75,7.8,7.5,7.55,7.55,19100.0
2005-07-19,7.55,7.6,7.5,7.55,7.55,22600.0
2005-07-20,7.5,7.6,7.5,7.58,7.58,39900.0
2005-07-21,7.6,7.6,7.59,7.59,7.59,3100.0
2005-07-22,7.55,7.55,7.47,7.47,7.47,3000.0
2005-07-25,7.55,7.55,7.5,7.5,7.5,2100.0
2005-07-26,7.5,7.55,7.5,7.55,7.55,3900.0
2005-07-27,7.5,7.55,7.4,7.55,7.55,8300.0
2005-07-28,7.55,7.6,7.5,7.6,7.6,2700.0
2005-07-29,7.59,7.59,7.55,7.58,7.58,1500.0
2005-08-01,7.5,7.62,7.45,7.62,7.62,2600.0
2005-08-02,7.62,7.63,7.6,7.6,7.6,2000.0
2005-08-03,7.56,7.7,7.56,7.69,7.69,5600.0
2005-08-04,7.7,7.75,7.6,7.67,7.67,14700.0
2005-08-05,7.65,7.69,7.45,7.5,7.5,6700.0
2005-08-08,7.51,7.67,7.5,7.67,7.67,3100.0
2005-08-09,7.6,7.6,7.45,7.51,7.51,800.0
2005-08-10,7.64,7.89,7.5,7.8,7.8,40700.0
2005-08-11,7.9,7.9,7.75,7.84,7.84,19500.0
2005-08-12,7.99,7.99,7.85,7.9,7.9,30400.0
2005-08-15,8.0,8.0,7.8,7.92,7.92,29300.0
2005-08-16,7.9,7.94,7.85,7.94,7.94,11200.0
2005-08-17,7.95,8.1,7.95,8.0,8.0,39800.0
2005-08-18,8.01,8.1,8.01,8.08,8.08,22100.0
2005-08-19,8.1,8.15,8.09,8.15,8.15,34100.0
2005-08-22,8.19,8.2,8.14,8.15,8.15,15000.0
2005-08-23,8.15,8.17,7.6,8.08,8.08,16100.0
2005-08-24,8.0,8.0,7.95,7.95,7.95,7400.0
2005-08-25,7.8,8.14,7.8,8.14,8.14,3600.0
2005-08-26,8.1,8.14,8.0,8.0,8.0,4400.0
2005-08-29,8.0,8.0,7.85,8.0,8.0,2000.0
2005-08-30,7.95,7.95,7.8,7.9,7.9,1500.0
2005-08-31,8.0,8.0,7.85,7.99,7.99,1600.0
2005-09-01,7.98,8.0,7.8,7.81,7.81,2700.0
2005-09-02,7.8,8.0,7.8,7.8,7.8,8200.0
2005-09-05,7.8,7.8,7.7,7.71,7.71,800.0
2005-09-06,7.79,7.8,7.7,7.7,7.7,4700.0
2005-09-07,7.71,7.71,7.68,7.7,7.7,1900.0
2005-09-08,7.9,7.94,7.7,7.7,7.7,2600.0
2005-09-09,7.7,7.85,7.68,7.68,7.68,19600.0
2005-09-12,7.67,7.68,7.6,7.6,7.6,11300.0
2005-09-13,7.65,7.8,7.65,7.66,7.66,2500.0
2005-09-14,7.7,7.94,7.7,7.8,7.8,12300.0
2005-09-15,7.76,7.93,7.76,7.93,7.93,8400.0
2005-09-16,7.92,7.92,7.77,7.89,7.89,4900.0
2005-09-19,7.9,7.96,7.85,7.96,7.96,9400.0
2005-09-20,7.98,8.24,7.94,8.16,8.16,86400.0
2005-09-21,8.25,8.5,8.07,8.49,8.49,167200.0
2005-09-22,8.6,8.88,8.6,8.67,8.67,82600.0
2005-09-23,8.78,9.04,8.76,9.0,9.0,91500.0
2005-09-26,9.13,9.55,9.05,9.55,9.55,149400.0
2005-09-27,9.75,9.75,9.3,9.59,9.59,73600.0
2005-09-28,9.6,9.6,9.3,9.5,9.5,50600.0
