Date,Open,High,Low,Close,Volume,Turnover
2014-02-14,85.92,86.01,84.8,85.31,299461.0,25565709.72
2014-02-17,85.49,85.54,84.74,85.0,183489.0,15605286.08
2014-02-18,85.36,85.4,84.52,84.88,261016.0,22172982.34
2014-02-19,85.07,85.25,82.55,82.77,616190.0,51680665.38
2014-02-20,78.01,79.68,75.2,79.12,2417954.0,187932080.16
2014-02-21,79.32,81.3,79.2,81.06,969729.0,77985337.12
2014-02-24,81.0,82.89,80.85,81.4,502138.0,41035576.18
2014-02-25,81.42,82.16,80.7,81.87,347415.0,28329701.07
2014-02-26,82.23,82.63,80.31,81.03,416212.0,33896341.72
2014-02-27,81.95,82.14,80.81,81.3,506302.0,41213675.45
2014-02-28,81.48,81.5,80.66,81.5,386315.0,31385649.7
2014-03-05,79.06,81.53,77.5,81.24,938148.0,74888241.17
2014-03-06,83.5,84.9,82.25,84.58,1284512.0,107324823.11
2014-03-07,84.86,84.94,81.96,82.01,809081.0,67189858.05
2014-03-10,82.0,82.57,78.72,79.3,675056.0,53976257.68
2014-03-11,79.76,82.1,79.7,79.92,889941.0,71760438.97
2014-03-12,79.5,80.33,78.64,79.83,705176.0,56095625.71
2014-03-13,80.15,82.55,79.59,80.91,670364.0,54612149.96
2014-03-14,80.18,80.94,79.7,80.23,421957.0,33906656.51
2014-03-17,80.77,82.39,80.31,81.45,331418.0,27053734.76
2014-03-18,81.7,82.14,81.07,81.13,333012.0,27109716.11
2014-03-19,81.41,81.41,79.85,80.27,316849.0,25462424.33
2014-03-20,79.94,82.04,79.59,80.92,446138.0,36074916.56
2014-03-21,81.23,83.85,80.81,82.73,961430.0,79432326.96
2014-03-24,83.54,83.82,82.11,82.77,380801.0,31547957.88
2014-03-25,83.14,84.45,83.1,83.91,374653.0,31430231.93
2014-03-26,84.18,85.65,84.0,84.66,467500.0,39669138.8
2014-03-27,84.68,85.99,83.72,84.23,480943.0,
2014-03-28,84.95,85.0,84.29,84.4,229527.0,19403367.95
2014-03-31,84.75,85.47,83.91,84.54,357523.0,30308921.46
2014-04-01,85.0,87.06,84.8,86.41,354783.0,30614304.57
2014-04-02,86.61,86.65,85.51,85.6,233596.0,20050863.42
2014-04-03,85.88,86.74,85.69,85.91,293232.0,25271351.31
2014-04-04,86.2,86.48,85.76,86.15,334420.0,28784887.69
2014-04-07,85.57,86.9,85.32,86.9,299326.0,25905133.93
2014-04-08,86.9,87.42,85.42,85.83,479498.0,41332604.87
2014-04-09,86.08,86.41,84.89,85.11,353293.0,30173775.06
2014-04-10,85.52,86.07,84.55,84.73,318358.0,27050593.85
2014-04-11,84.2,84.32,82.53,83.31,451488.0,37568192.53
2014-04-14,82.67,83.06,80.81,81.48,506091.0,41245200.92
2014-04-15,81.62,82.78,81.55,81.86,331998.0,27243579.1
2014-04-16,82.46,83.1,82.05,82.49,319190.0,26323582.65
2014-04-17,82.51,84.9,82.4,84.59,264386.0,22226123.24
2014-04-22,85.42,86.67,84.85,85.23,362396.0,30981364.27
2014-04-23,85.54,85.86,84.36,84.45,253908.0,21552021.39
2014-04-24,82.49,83.97,81.5,82.3,627497.0,51751663.4
2014-04-25,81.4,81.53,78.31,78.96,927973.0,73793435.08
2014-04-28,78.82,80.09,78.75,79.43,302019.0,24028778.6
2014-04-29,79.98,81.3,79.92,80.59,419114.0,33795920.31
2014-04-30,80.03,81.27,79.79,80.7,425764.0,34362580.36
2014-05-02,80.81,81.15,79.81,79.92,222881.0,17911272.76
2014-05-05,80.0,80.1,78.83,80.07,237165.0,18875129.06
2014-05-06,80.0,80.36,78.01,78.09,520804.0,41015595.07
2014-05-07,78.18,78.48,76.23,76.67,539748.0,41616560.91
2014-05-08,77.22,77.48,76.03,76.67,330507.0,25359021.71
2014-05-09,76.5,77.42,76.5,77.09,307839.0,23670826.97
2014-05-12,77.6,79.06,77.5,78.9,253396.0,19902845.14
2014-05-13,79.89,79.89,78.23,78.23,354061.0,27898021.03
2014-05-14,78.5,79.2,77.95,78.0,215784.0,16929459.33
2014-05-16,77.88,77.88,75.89,76.72,385790.0,29492455.96
2014-05-19,77.05,78.53,76.87,77.78,409240.0,31864986.55
2014-05-20,78.0,80.06,77.3,79.2,432832.0,34264482.86
2014-05-21,79.28,79.28,77.34,77.64,381171.0,29682677.95
2014-05-22,78.0,78.04,76.25,77.66,400873.0,30900699.16
2014-05-23,77.42,77.68,77.01,77.3,210853.0,16296256.5
2014-05-26,77.52,78.82,77.4,78.41,194161.0,15207438.23
2014-05-28,80.16,81.11,79.6,80.7,468561.0,37718495.15
2014-05-29,80.97,81.03,79.7,80.12,126211.0,10129570.66
2014-05-30,79.88,80.3,79.56,79.65,326984.0,26077192.38
2014-06-02,80.04,80.12,79.06,79.46,406020.0,32332532.69
2014-06-03,79.48,80.37,78.82,80.32,289148.0,23138193.95
2014-06-04,80.32,81.68,79.97,80.9,269866.0,21768739.54
2014-06-05,80.9,83.09,80.32,81.91,552747.0,45302757.79
2014-06-06,82.6,82.76,81.38,82.16,348472.0,28630933.35
2014-06-09,82.26,82.49,81.52,81.96,224949.0,18420286.13
2014-06-10,83.62,85.26,82.94,83.58,645635.0,54217782.0
2014-06-11,83.33,83.58,81.46,82.74,509824.0,41961458.14
2014-06-12,82.0,82.72,81.96,82.6,208013.0,17141532.65
2014-06-13,82.77,82.85,82.0,82.54,236748.0,19517150.79
2014-06-16,82.54,82.88,82.2,82.5,170574.0,14079336.52
2014-06-17,82.75,82.99,81.69,82.21,214947.0,17679197.66
2014-06-18,82.32,82.49,81.36,81.42,204536.0,16724872.33
2014-06-19,81.85,82.0,80.6,80.79,352094.0,28602101.27
2014-06-20,80.0,80.2,78.29,78.47,865457.0,68360711.71
2014-06-23,78.78,78.85,76.6,77.09,537378.0,41590754.53
2014-06-24,77.37,78.04,77.09,77.42,320842.0,24829121.92
2014-06-25,77.18,77.32,75.92,76.15,369930.0,28278749.44
2014-06-26,76.44,76.5,74.83,75.15,713798.0,53656616.54
2014-06-27,75.3,75.49,74.74,75.05,278608.0,20898916.19
