Date,Open,High,Low,Close,Volume,Turnover
2014-02-14,2.622,2.64,2.586,2.589,13252721.0,34515849.141
2014-02-17,2.604,2.644,2.601,2.616,11537088.0,30225614.18
2014-02-18,2.62,2.707,2.62,2.707,14077345.0,37713038.68
2014-02-19,2.682,2.701,2.639,2.67,16940832.0,45246032.53
2014-02-20,2.646,2.698,2.646,2.698,13664940.0,36648779.52
2014-02-21,2.71,2.724,2.69,2.712,12220025.0,33079759.22
2014-02-24,2.675,2.74,2.672,2.706,16831939.0,45628513.943
2014-02-25,2.696,2.696,2.642,2.659,10269929.0,27299748.45
2014-02-26,2.649,2.664,2.604,2.612,13650653.0,35886795.88
2014-02-27,2.62,2.623,2.539,2.594,16346579.0,42237953.251
2014-02-28,2.611,2.614,2.577,2.585,10679011.0,27662138.26
2014-03-05,2.584,2.606,2.556,2.587,12543955.0,32361593.821
2014-03-06,2.599,2.65,2.588,2.64,17965219.0,47026259.189
2014-03-07,2.639,2.667,2.592,2.616,13954540.0,36670239.51
2014-03-10,2.611,2.631,2.596,2.63,15393073.0,40299280.29
2014-03-11,2.63,2.669,2.626,2.66,11391249.0,30187829.2
2014-03-12,2.642,2.677,2.635,2.67,13306017.0,35344004.971
2014-03-13,2.668,2.709,2.662,2.666,13687634.0,36677862.153
2014-03-14,2.641,2.649,2.574,2.595,21365703.0,55530221.44
2014-03-17,2.589,2.647,2.583,2.637,12840338.0,33627051.37
2014-03-18,2.624,2.693,2.614,2.69,10584793.0,28323479.28
2014-03-19,2.696,2.705,2.677,2.683,12292806.0,33057490.791
2014-03-20,2.669,2.674,2.625,2.65,14390313.0,38086857.305
2014-03-21,2.65,2.69,2.646,2.663,46217172.0,123126823.03
2014-03-24,2.634,2.649,2.524,2.551,28896247.0,74366845.26
2014-03-25,2.55,2.57,2.49,2.538,22618838.0,57272339.1
2014-03-26,2.539,2.54,2.482,2.511,18833792.0,47281594.664
2014-03-27,2.516,2.523,2.463,2.487,20029588.0,49797878.47
2014-03-28,2.507,2.596,2.499,2.565,19120897.0,48813236.33
2014-03-31,2.571,2.575,2.521,2.565,14549112.0,37155367.039
2014-04-01,2.598,2.61,2.577,2.59,30938601.0,80281005.11
2014-04-02,2.59,2.639,2.576,2.611,23102727.0,60215687.69
2014-04-03,2.61,2.612,2.511,2.53,24615364.0,62948994.13
2014-04-04,2.526,2.555,2.516,2.516,20153208.0,50980761.47
2014-04-07,2.509,2.541,2.493,2.516,13218615.0,33236381.091
2014-04-08,2.527,2.534,2.47,2.477,17950556.0,44685948.11
2014-04-09,2.483,2.519,2.474,2.505,14606047.0,36514259.32
2014-04-10,2.518,2.52,2.482,2.485,10420049.0,25994473.97
2014-04-11,2.47,2.477,2.434,2.435,20628539.0,50543972.67
2014-04-14,2.425,2.43,2.356,2.416,26416735.0,63377837.511
2014-04-15,2.423,2.435,2.358,2.361,21170604.0,50444920.63
2014-04-16,2.383,2.416,2.377,2.412,15734481.0,37703066.98
2014-04-17,2.42,2.48,2.413,2.467,19120942.0,47048065.18
2014-04-22,2.506,2.513,2.463,2.496,16752012.0,41759738.39
2014-04-23,2.491,2.506,2.488,2.497,12365634.0,30878326.12
2014-04-24,2.5,2.55,2.493,2.511,17552960.0,44217280.02
2014-04-25,2.5,2.5,2.452,2.464,18942312.0,46790198.95
2014-04-28,2.465,2.466,2.432,2.448,11383333.0,27828835.81
2014-04-29,2.463,2.513,2.463,2.513,11478121.0,28681543.02
2014-04-30,2.501,2.568,2.497,2.562,19349067.0,49318467.26
2014-05-02,2.574,2.694,2.573,2.637,27256495.0,72071360.19
2014-05-05,2.616,2.624,2.567,2.61,14646981.0,38055930.48
2014-05-06,2.625,2.657,2.573,2.6,17664326.0,46234751.71
2014-05-07,2.587,2.613,2.58,2.6,12503187.0,32463082.01
2014-05-08,2.602,2.604,2.552,2.573,15128206.0,38953264.018
2014-05-09,2.583,2.588,2.555,2.583,10193638.0,26224422.39
2014-05-12,2.597,2.656,2.573,2.644,13874864.0,36435075.759
2014-05-13,2.651,2.658,2.613,2.644,11990438.0,31679951.36
2014-05-14,2.64,2.664,2.62,2.664,13061564.0,34607024.27
2014-05-16,2.62,2.664,2.607,2.647,16800048.0,44328438.85
2014-05-19,2.642,2.689,2.629,2.669,9711159.0,25915318.06
2014-05-20,2.661,2.697,2.652,2.653,13498286.0,36014205.1
2014-05-21,2.65,2.665,2.629,2.632,10396561.0,27428483.52
2014-05-22,2.634,2.678,2.631,2.639,10717711.0,28413940.43
2014-05-23,2.646,2.673,2.627,2.672,12604991.0,33484080.83
2014-05-26,2.677,2.694,2.658,2.694,5602812.0,15019226.77
2014-05-28,2.737,2.74,2.715,2.731,12053184.0,32867420.88
2014-05-29,2.717,2.725,2.696,2.701,10862435.0,29378761.5054
2014-05-30,2.715,2.734,2.7,2.711,19580258.0,53137547.296
2014-06-02,2.72,2.728,2.665,2.666,14810270.0,39766289.505
2014-06-03,2.67,2.685,2.625,2.634,11943154.0,31687348.6393
2014-06-04,2.627,2.662,2.624,2.637,10649977.0,28080232.152
