Date,Open,High,Low,Close,Volume,Turnover
2014-02-14,12.265,12.345,12.195,12.245,6487456.0,79519154.365
2014-02-17,12.295,12.31,12.155,12.26,4679335.0,57284386.71
2014-02-18,12.3,12.3,12.005,12.065,9299646.0,112407592.96
2014-02-19,12.055,12.15,11.96,12.15,6870572.0,82823050.87
2014-02-20,11.95,12.015,11.895,12.015,8636387.0,103250720.83
2014-02-21,12.09,12.1,11.955,12.02,7530594.0,90590445.69
2014-02-24,12.03,12.04,11.85,11.9,8605654.0,102551848.5375
2014-02-25,11.84,11.885,11.555,11.645,12559225.0,146455528.5
2014-02-26,11.56,11.62,11.355,11.45,11595240.0,133209697.78
2014-02-27,11.495,11.57,11.345,11.535,9992119.0,114751859.62
2014-02-28,11.515,11.57,11.37,11.465,6527377.0,74714143.69
2014-03-05,11.22,11.43,11.205,11.265,7183302.0,81116707.09
2014-03-06,11.29,11.365,11.255,11.32,7004332.0,79230748.41
2014-03-07,11.3,11.335,11.02,11.105,10451030.0,116542431.28
2014-03-10,11.0,11.235,10.755,10.9,15060886.0,164965695.45
2014-03-11,10.925,11.18,10.925,11.055,9136622.0,100902895.27
2014-03-12,11.0,11.085,10.835,11.03,10176362.0,111474503.995
2014-03-13,11.06,11.12,10.72,10.72,10407619.0,113151350.225
2014-03-14,10.69,10.935,10.53,10.715,13815927.0,148390927.42
2014-03-17,10.765,10.965,10.725,10.84,6389730.0,69364634.08
2014-03-18,10.83,10.98,10.675,10.91,9592856.0,103918936.71
2014-03-19,10.99,11.175,10.905,11.015,8644353.0,95426095.11
2014-03-20,11.015,11.245,10.98,11.215,10787715.0,120410760.615
2014-03-21,11.265,11.43,11.24,11.375,13334448.0,151544149.96
2014-03-24,11.46,11.57,11.17,11.21,9040318.0,102674763.99
2014-03-25,11.245,11.38,11.16,11.31,9502314.0,107160175.81
2014-03-26,11.41,11.555,11.4,11.435,8230777.0,94400523.785
2014-03-27,11.36,11.45,11.265,11.44,5952627.0,67684231.7
2014-03-28,11.49,11.63,11.47,11.565,6234720.0,72082974.67
2014-03-31,11.63,11.81,11.6,11.695,7182460.0,84033876.555
2014-04-01,11.795,11.87,11.73,11.755,6640864.0,78362112.41
2014-04-02,11.63,11.645,11.49,11.585,9670319.0,111883666.94
2014-04-03,11.645,11.74,11.54,11.675,6836647.0,79678739.77
2014-04-04,11.68,11.97,11.68,11.91,9334968.0,110755106.21
2014-04-07,11.8,11.96,11.765,11.805,7977674.0,94446984.135
2014-04-08,11.855,12.045,11.785,11.99,11814724.0,140799006.92
2014-04-09,12.015,12.095,11.96,11.975,6779130.0,81483665.88
2014-04-10,12.035,12.07,11.865,11.975,5806277.0,69547700.48
2014-04-11,11.85,11.995,11.775,11.84,9118274.0,108262384.14
2014-04-14,11.85,12.0,11.715,11.985,8328605.0,98912492.025
2014-04-15,11.94,11.95,11.56,11.57,10204239.0,119369788.19
2014-04-16,11.685,11.75,11.57,11.68,6083526.0,70967253.55
2014-04-17,11.7,11.75,11.595,11.71,4891789.0,57181598.59
2014-04-22,11.765,11.885,11.66,11.85,6334355.0,74747565.07
2014-04-23,11.85,11.88,11.77,11.875,4856273.0,57466520.03
2014-04-24,11.94,12.03,11.785,11.885,6734113.0,80261225.45
2014-04-25,11.805,11.87,11.68,11.74,5748971.0,67569051.46
2014-04-28,11.715,11.73,11.515,11.6,7877684.0,91498376.77
2014-04-29,11.585,11.715,11.505,11.68,6969975.0,81068670.96
2014-04-30,11.625,11.735,11.585,11.705,6567193.0,76723575.56
2014-05-02,11.68,11.79,11.645,11.755,6878026.0,80743140.5
2014-05-05,11.7,11.73,11.515,11.635,5893063.0,68410035.785
2014-05-06,11.61,11.66,11.535,11.645,5048134.0,58603259.66
2014-05-07,11.59,11.67,11.515,11.665,5716414.0,66417660.93
2014-05-08,11.665,11.95,11.66,11.905,12584116.0,149289819.0
2014-05-09,11.775,11.865,11.41,11.5,16710142.0,193557424.9
2014-05-12,11.5,11.59,11.365,11.53,8990339.0,103355785.67
2014-05-13,11.59,11.815,11.57,11.74,10357480.0,121463306.66
2014-05-14,11.75,12.025,11.74,11.955,8743404.0,104036839.25
2014-05-16,11.685,11.71,11.515,11.675,9288109.0,107979026.52
2014-05-19,11.65,11.67,11.535,11.58,8431827.0,97691706.96
2014-05-20,11.55,11.615,11.435,11.45,6374803.0,73312891.29
2014-05-21,11.345,11.37,11.23,11.32,10077383.0,113951078.015
2014-05-22,11.285,11.41,11.205,11.24,8162102.0,92103803.61
2014-05-23,11.195,11.36,11.18,11.305,5345592.0,60344385.45
2014-05-26,11.35,11.45,11.33,11.41,3260399.0,37208184.34
2014-05-28,11.395,11.51,11.3,11.355,5849535.0,66602160.74
2014-05-29,11.34,11.475,11.27,11.38,4053893.0,46156923.48
2014-05-30,11.385,11.385,11.16,11.2,9062428.0,101874952.32
2014-06-02,11.16,11.24,11.115,11.195,6511736.0,72775650.43
2014-06-03,11.19,11.195,11.05,11.095,6761387.0,75024637.3
2014-06-04,11.055,11.155,10.975,11.05,10394884.0,114823550.33
2014-06-05,11.035,11.22,10.97,11.085,11773910.0,130639708.63
2014-06-06,11.16,11.325,11.13,11.245,8451139.0,95080953.515
2014-06-09,11.325,11.455,11.3,11.405,5605207.0,63931100.225
2014-06-10,11.365,11.43,11.28,11.33,7262198.0,82397299.275
