Date,Open,High,Low,Close,Volume,Turnover
2014-07-02,21.0,21.76,20.915,21.26,16474358.0,352252734.43
2014-07-03,21.3,22.83,21.255,22.5,5322626.0,116656700.73
2014-07-04,22.7,22.81,22.35,22.5,2404805.0,53209241.595
2014-07-07,22.5,22.68,22.5,22.55,1425841.0,32164323.19
2014-07-08,22.6,22.65,22.005,22.1,1039636.0,23190400.0
2014-07-09,22.01,22.48,21.95,22.185,565267.0,12481132.015
2014-07-10,22.39,22.55,21.95,22.05,800564.0,17634946.7
2014-07-11,22.0,22.52,21.995,22.5,502698.0,11208638.0
2014-07-14,22.55,23.45,22.4,23.33,698947.0,15952177.21
2014-07-15,23.3,23.36,22.875,22.99,380572.0,8787096.955
2014-07-16,23.0,23.15,22.85,23.0,270453.0,6206998.285
2014-07-17,23.05,23.1,22.5,22.57,433771.0,9876093.48
2014-07-18,22.66,22.69,22.2,22.21,233913.0,5220595.55
2014-07-21,22.25,22.48,22.08,22.3,241786.0,5375339.26
2014-07-22,22.26,22.49,22.12,22.23,155360.0,3455233.4
2014-07-23,22.3,22.3,21.855,21.97,353468.0,7786734.045
2014-07-24,21.97,22.1,21.46,21.75,325496.0,7100078.05
2014-07-25,21.875,21.875,21.425,21.75,213795.0,4642772.98
2014-07-28,21.5,21.8,21.5,21.59,244943.0,5292473.675
2014-07-29,21.51,21.65,21.385,21.47,210779.0,4530673.545
2014-07-30,21.4,21.49,20.845,20.845,592539.0,12476344.96
2014-07-31,21.0,21.15,20.96,21.05,310405.0,6527576.5
2014-08-01,21.05,21.43,20.735,21.3,335731.0,7053979.23
2014-08-04,21.3,21.44,21.005,21.275,111312.0,2367219.035
2014-08-05,21.365,21.6,21.295,21.5,173898.0,3733483.02
2014-08-06,21.35,21.52,21.05,21.1,265123.0,5611493.955
2014-08-07,21.145,21.27,21.0,21.09,117531.0,2476044.985
2014-08-08,20.9,21.085,20.9,21.085,135423.0,2840615.95
2014-08-11,21.15,21.55,21.05,21.09,251532.0,5344142.1564
2014-08-12,21.12,21.245,21.06,21.195,149261.0,3154283.155
2014-08-13,21.2,21.2,20.95,21.0,301433.0,6338653.47
2014-08-14,21.05,21.08,20.955,21.0,175342.0,3683381.14
2014-08-15,21.0,21.175,20.98,21.16,89196.0,1882077.65
2014-08-18,21.01,21.49,21.01,21.18,186587.0,3974455.275
2014-08-19,21.45,21.49,21.245,21.35,57574.0,1229918.195
2014-08-20,21.42,21.455,21.34,21.35,187229.0,4000621.11
2014-08-21,21.39,21.44,21.3,21.3,109990.0,2348454.22
2014-08-22,21.445,21.87,21.35,21.835,167274.0,3609710.27
2014-08-25,22.0,22.125,21.735,22.09,96020.0,2110163.325
2014-08-26,22.09,22.09,21.91,22.025,86864.0,1910615.28
2014-08-27,22.04,22.25,21.95,22.215,64184.0,1419661.885
2014-08-28,22.06,22.34,22.05,22.25,61207.0,1357790.93
2014-08-29,22.25,22.25,21.96,22.235,70468.0,1558455.92
2014-09-01,22.12,22.3,22.0,22.01,75277.0,1669660.46
2014-09-02,22.23,22.43,22.12,22.2,86358.0,1920718.11
2014-09-03,22.18,22.2,22.05,22.15,71801.0,1591113.39
2014-09-04,22.2,22.2,22.025,22.1,119357.0,2637600.605
2014-09-05,22.08,22.11,21.95,22.1,53101.0,1170063.31
2014-09-08,22.01,22.165,21.98,22.1,58146.0,1282909.12
2014-09-09,22.0,22.18,21.98,22.1,86104.0,1901552.175
2014-09-10,22.005,22.21,22.0,22.145,36069.0,796896.06
2014-09-11,22.04,22.2,22.0,22.005,74256.0,1640046.11
2014-09-12,22.04,22.15,22.01,22.09,23403.0,516183.31
2014-09-15,22.04,22.15,22.0,22.0,46434.0,1023170.62
2014-09-16,22.0,22.2,21.98,22.095,143351.0,3162740.52
2014-09-17,22.265,22.265,22.055,22.175,131344.0,2910882.535
2014-09-18,22.14,22.445,22.065,22.425,150258.0,3349923.18
2014-09-19,22.47,22.55,22.24,22.55,204527.0,4589973.11
2014-09-22,22.36,22.485,22.265,22.425,124589.0,2779022.84
2014-09-23,22.35,22.485,22.315,22.485,359713.0,8050776.25
2014-09-24,22.44,22.51,22.3,22.51,203333.0,4560485.36
2014-09-25,22.5,22.9,22.5,22.75,193312.0,4391995.6
2014-09-26,22.9,23.175,22.765,23.05,342816.0,7883556.81
2014-09-29,23.1,23.195,22.935,23.03,278578.0,6418379.34
2014-09-30,23.0,23.18,22.81,22.975,195491.0,4490120.88
2014-10-01,22.9,22.985,22.66,22.76,185300.0,4236951.17
2014-10-02,22.615,23.1,22.5,22.67,276724.0,6317686.51
2014-10-03,22.805,23.0,22.725,22.75,141741.0,3240459.04
2014-10-06,22.86,22.955,22.77,22.77,79606.0,1818759.18
2014-10-07,22.75,22.795,22.27,22.45,98458.0,2225476.8
2014-10-08,22.3,22.455,22.15,22.28,83952.0,1869357.05
2014-10-09,22.47,22.75,22.28,22.28,146832.0,3293679.79
2014-10-10,22.16,22.5,22.15,22.235,236965.0,5279293.85
2014-10-13,22.1,22.41,22.1,22.265,63556.0,1416597.085
2014-10-14,22.2,22.3,22.11,22.24,152529.0,3382440.45
2014-10-15,22.18,22.35,21.77,21.825,154920.0,3414097.145
2014-10-16,21.795,22.0,21.515,21.84,381169.0,8272861.215
2014-10-17,21.75,22.35,21.75,22.0,111261.0,2452752.52
2014-10-20,22.0,22.33,21.99,22.155,248568.0,5512746.225
2014-11-04,22.64,22.85,22.42,22.475,199003.0,4495187.13
2014-11-05,22.9,23.14,22.88,23.14,348549.0,8034693.08
2014-11-06,23.15,23.315,23.0,23.3,298049.0,6930215.125
2014-11-07,23.55,24.14,23.485,23.7,573015.0,13616396.36
2014-11-10,23.7,24.075,23.585,23.745,257658.0,6124130.98
2014-11-11,23.8,23.96,23.7,23.775,187277.0,4447710.4
2014-11-12,23.77,24.25,23.77,24.02,291416.0,7007369.79
