Date,Open,High,Low,Close,Volume,Turnover
2014-02-14,47.635,48.835,47.625,48.59,631483.0,30581864.07
2014-02-17,48.6,49.135,48.59,49.105,356634.0,17453394.66
2014-02-18,49.175,49.35,48.63,48.9,511837.0,25060260.84
2014-02-19,48.695,49.35,48.6,49.17,479913.0,23543329.36
2014-02-20,46.7,46.7,43.915,43.995,2867823.0,128267393.66
2014-02-21,44.43,45.5,44.135,45.395,1405049.0,63038802.92
2014-02-24,45.385,45.505,44.67,45.505,634816.0,28703493.99
2014-02-25,45.545,45.545,45.0,45.265,482579.0,21830857.09
2014-02-26,45.405,45.46,44.67,44.91,416482.0,18733740.42
2014-02-27,45.0,45.42,44.255,45.32,733539.0,32896773.605
2014-02-28,45.54,45.815,45.265,45.645,589872.0,26872751.01
2014-03-05,45.51,45.8,45.105,45.33,490729.0,22288886.535
2014-03-06,45.405,45.66,45.06,45.325,524387.0,23778992.665
2014-03-07,45.08,45.455,44.495,44.63,587924.0,26415241.27
2014-03-10,44.86,45.585,44.77,45.3,628414.0,28448453.72
2014-03-11,45.355,46.085,45.315,45.87,661452.0,30245545.54
2014-03-12,45.77,46.02,44.885,44.89,712875.0,32162805.155
2014-03-13,44.395,44.65,42.8,42.905,1432470.0,62339606.92
2014-03-14,42.405,42.6,41.79,42.21,1037918.0,43782201.14
2014-03-17,42.385,43.13,42.3,42.88,562063.0,24096745.2
2014-03-18,42.95,43.565,42.505,43.1,763989.0,32902044.41
2014-03-19,43.15,43.525,42.745,42.825,496817.0,21383520.565
2014-03-20,42.5,42.775,42.11,42.51,596110.0,25271453.485
2014-03-21,42.67,43.14,41.905,41.905,1037937.0,43792983.45
2014-03-24,41.805,42.12,40.975,41.02,865972.0,35759063.03
2014-03-25,41.15,42.105,41.15,41.945,610794.0,25539361.48
2014-03-26,42.21,42.8,41.98,42.415,657091.0,27911694.865
2014-03-27,42.225,42.875,42.035,42.295,526428.0,22291911.49
2014-03-28,42.64,42.85,42.205,42.71,523810.0,22319479.66
2014-03-31,42.97,42.98,42.395,42.505,450386.0,19205208.295
2014-04-01,42.77,43.395,42.52,43.195,465924.0,20059394.83
2014-04-02,43.4,44.23,43.27,44.03,614497.0,26988384.8
2014-04-03,44.05,44.06,43.275,43.285,712459.0,30980547.81
2014-04-04,43.41,43.64,43.145,43.455,478208.0,20755801.83
2014-04-07,42.185,42.4,41.835,41.915,620411.0,26131365.795
2014-04-08,41.87,42.02,40.875,41.345,604195.0,24946369.23
2014-04-09,41.57,42.035,41.455,41.625,478542.0,19952478.15
2014-04-10,41.98,42.335,41.39,41.435,828710.0,34736370.56
2014-04-11,41.15,41.25,40.48,40.885,621662.0,25381184.12
2014-04-14,40.75,40.755,38.96,39.685,1605145.0,63666243.275
2014-04-15,39.875,40.025,39.155,39.62,839101.0,33207580.49
2014-04-16,40.065,40.81,39.75,40.8,671046.0,27082080.81
2014-04-17,40.8,41.175,40.64,40.975,632881.0,25930616.72
2014-04-22,41.25,41.6,40.975,41.555,681410.0,28189312.18
2014-04-23,41.55,43.89,41.32,43.71,1849589.0,79384520.28
2014-04-24,43.765,44.195,43.275,43.955,970825.0,42502648.75
2014-04-25,43.46,43.71,42.505,42.71,840935.0,36094424.69
2014-04-28,42.7,43.295,42.7,43.0,716737.0,30859887.12
2014-04-29,43.3,43.54,43.1,43.29,760590.0,32928274.66
2014-04-30,44.8,44.85,41.05,41.905,2024590.0,85412763.23
2014-05-02,42.0,42.17,41.005,41.085,1308975.0,54368235.16
2014-05-05,40.9,40.9,40.02,40.505,732438.0,29597573.775
2014-05-06,40.655,41.17,40.43,40.62,577784.0,23528848.12
2014-05-07,40.4,40.43,39.855,39.92,803457.0,32184379.38
2014-05-08,40.1,40.3,39.815,40.025,839413.0,33620111.555
2014-05-09,40.0,40.11,39.73,40.01,606180.0,24182566.44
2014-05-12,40.21,40.75,39.935,40.675,533612.0,21602145.485
2014-05-13,40.87,41.9,40.835,41.405,925139.0,38277441.06
2014-05-14,41.565,41.735,41.0,41.445,527208.0,21811887.38
2014-05-16,40.62,41.05,39.75,39.845,748587.0,30120993.39
2014-05-19,39.815,40.055,39.25,39.645,498236.0,19736612.68
2014-05-20,39.7,40.66,39.65,40.2,553324.0,22257339.72
2014-05-21,40.105,40.635,39.8,40.565,516187.0,20816083.075
2014-05-22,40.835,40.93,40.34,40.78,457607.0,18601661.48
2014-05-23,42.08,42.215,41.6,42.04,1026363.0,43012300.96
2014-05-26,42.055,42.565,42.05,42.36,389696.0,16498228.23
2014-05-28,42.595,43.385,42.57,43.36,617179.0,26661343.62
2014-05-29,43.39,43.5,42.725,42.92,332837.0,14285850.15
2014-05-30,42.815,43.095,42.525,42.68,744923.0,31864419.87
2014-06-02,42.99,43.16,42.76,43.135,326009.0,14031255.795
