Date,Open,High,Low,Close,Volume,Turnover
2014-02-14,25.9,26.08,25.855,25.965,4582095.0,118991239.61
2014-02-17,25.995,26.195,25.91,25.955,3620852.0,94372804.44
2014-02-18,25.93,26.365,25.905,26.305,5519384.0,144476923.41
2014-02-19,26.305,26.545,26.25,26.48,6209547.0,164224931.59
2014-02-20,26.4,26.675,26.345,26.665,5773449.0,153392056.865
2014-02-21,26.725,26.88,26.705,26.835,8163592.0,218662804.3
2014-02-24,26.76,26.89,26.665,26.89,4113548.0,110243539.265
2014-02-25,26.9,26.96,26.57,26.715,5865056.0,156737079.17
2014-02-26,26.69,26.795,26.55,26.7,3863285.0,103017578.73
2014-02-27,26.655,26.77,26.345,26.54,5445733.0,144257868.505
2014-02-28,26.5,26.72,26.35,26.455,4679985.0,123949159.75
2014-03-05,26.535,26.665,26.475,26.535,4503924.0,119618490.915
2014-03-06,26.54,26.58,26.135,26.235,4748159.0,125028871.75
2014-03-07,26.15,26.36,26.045,26.17,6646448.0,174367234.15
2014-03-10,26.1,26.435,26.01,26.265,4173887.0,109655530.52
2014-03-11,26.315,26.41,26.19,26.33,3284306.0,86381979.09
2014-03-12,26.13,26.22,25.92,26.01,5579380.0,145312979.96
2014-03-13,25.96,26.095,25.75,25.75,6862279.0,177671153.655
2014-03-14,25.65,25.855,25.515,25.635,8436187.0,216402765.62
2014-03-17,25.72,26.07,25.61,25.74,5543292.0,143142765.67
2014-03-18,25.74,26.105,25.6,25.9,4897519.0,126692110.63
2014-03-19,25.9,25.99,25.795,25.905,3905092.0,101220751.665
2014-03-20,25.75,25.86,25.595,25.83,7185986.0,185012540.38
2014-03-21,25.79,26.03,25.705,26.0,10856471.0,281220160.38
2014-03-24,25.995,26.025,25.715,25.815,6534701.0,169017302.95
2014-03-25,25.79,26.135,25.72,26.07,4602891.0,119733834.76
2014-03-26,26.15,26.4,26.05,26.25,4969311.0,130558379.42
2014-03-27,26.25,26.47,26.2,26.425,5174355.0,136467423.49
2014-03-28,26.385,26.63,26.38,26.535,5129063.0,136179012.74
2014-03-31,26.68,26.8,26.485,26.52,4999800.0,133170769.94
2014-04-01,26.495,26.7,26.475,26.61,3490109.0,92860704.36
2014-04-02,26.55,26.635,26.38,26.53,3079106.0,81686555.36
2014-04-03,26.595,26.725,26.515,26.715,3911263.0,104181632.13
2014-04-04,26.76,26.935,26.735,26.845,4775415.0,128131189.3
2014-04-07,26.69,26.855,26.61,26.795,4211955.0,112744382.465
2014-04-08,26.765,26.87,26.67,26.725,6947254.0,185937680.37
2014-04-09,26.7,26.855,26.7,26.755,3559154.0,95280990.77
2014-04-10,26.8,26.88,26.66,26.74,4091474.0,109520193.0
2014-04-11,26.605,26.705,26.355,26.425,6186224.0,163778653.66
2014-04-14,26.37,26.8,26.37,26.8,6256896.0,166605580.535
2014-04-15,26.825,27.12,26.75,27.005,7965675.0,214837414.66
2014-04-16,27.095,27.17,26.885,27.09,5538057.0,149819974.92
2014-04-17,27.04,27.24,26.925,27.24,6047228.0,164079721.62
2014-04-22,27.235,27.44,27.105,27.295,6052290.0,165377717.12
2014-04-23,27.275,27.38,27.205,27.265,3933854.0,107248658.14
2014-04-24,27.4,27.48,27.22,27.385,5458387.0,149344418.99
2014-04-25,27.325,27.4,27.2,27.285,4547298.0,124098156.88
2014-04-28,27.27,27.44,27.205,27.41,5284756.0,144601475.43
2014-04-29,27.4,27.72,27.31,27.705,7797615.0,214993986.82
2014-04-30,28.41,28.99,28.38,28.545,21437369.0,614882120.68
2014-05-02,28.35,28.66,28.31,28.635,9739313.0,278133590.73
2014-05-05,28.525,28.66,28.36,28.6,5536710.0,157956380.285
2014-05-06,28.63,28.67,28.415,28.58,6012137.0,171673997.01
2014-05-07,28.455,28.83,28.455,28.76,6949617.0,199624528.6
2014-05-08,28.775,29.145,28.74,29.05,8581210.0,248785261.005
2014-05-09,29.01,29.085,28.915,29.0,5478296.0,158745640.04
2014-05-12,29.0,29.175,28.905,28.99,5398917.0,156699644.82
2014-05-13,29.045,29.165,28.92,29.115,6376292.0,185296379.81
2014-05-14,28.95,28.95,28.555,28.71,6088448.0,174877918.53
2014-05-16,28.77,28.97,28.7,28.81,6028958.0,173724173.93
2014-05-19,28.825,29.0,28.68,28.9,6656618.0,192254535.62
2014-05-20,28.94,28.985,28.67,28.815,4862259.0,140016705.4
2014-05-21,28.78,29.08,28.78,29.035,4956261.0,143613451.095
