Date,Open,High,Low,Close,Volume,Turnover
2014-02-14,27.8,27.81,27.635,27.7,4877697.0,135117623.35
2014-02-17,27.815,28.175,27.705,28.095,2775640.0,77955882.04
2014-02-18,28.175,28.285,27.955,28.215,3624211.0,101987437.76
2014-02-19,28.25,28.45,28.09,28.34,3675045.0,104009749.93
2014-02-20,28.1,28.48,28.035,28.48,4741532.0,134233111.75
2014-02-21,28.64,28.675,28.415,28.6,4474696.0,127817383.46
2014-02-24,28.585,28.895,28.475,28.895,3531437.0,101473652.355
2014-02-25,28.8,28.935,28.595,28.915,4554843.0,131092168.45
2014-02-26,28.905,28.95,28.655,28.805,2978779.0,85791463.01
2014-02-27,28.735,28.885,28.465,28.755,3458711.0,99150222.895
2014-02-28,28.755,28.92,28.595,28.73,3895195.0,111826797.85
2014-03-05,28.745,28.8,28.515,28.715,3584968.0,102732909.295
2014-03-06,28.73,28.76,28.375,28.475,5249310.0,149734765.616
2014-03-07,28.42,28.64,28.29,28.325,5338905.0,151648526.89
2014-03-10,28.27,28.48,28.08,28.125,5012029.0,141539896.14
2014-03-11,28.14,28.165,27.835,27.95,4518239.0,126429390.84
2014-03-12,27.83,27.9,27.495,27.7,5399958.0,149437469.49
2014-03-13,27.78,27.81,27.575,27.605,5540818.0,153131083.11
2014-03-14,27.61,27.82,27.54,27.72,7852576.0,217571416.3
2014-03-17,27.65,27.79,27.535,27.76,4334387.0,119988714.04
2014-03-18,27.635,28.03,27.45,27.91,5589351.0,155330903.92
2014-03-19,27.825,27.96,27.785,27.81,4282485.0,119258022.305
2014-03-20,27.615,27.81,27.5,27.81,3594542.0,99501879.505
2014-03-21,27.825,28.185,27.77,28.15,11147949.0,313214755.9
2014-03-24,28.055,28.405,27.985,28.265,5105950.0,144084198.76
2014-03-25,28.275,28.795,28.265,28.795,5231891.0,149955142.86
2014-03-26,28.935,29.205,28.865,29.115,4532542.0,131902357.775
2014-03-27,29.025,29.485,28.875,29.475,4148760.0,121244973.2
2014-03-28,29.495,29.975,29.39,29.955,5897702.0,175534984.3
2014-03-31,30.0,30.145,29.825,29.835,4817782.0,144057314.7
2014-04-01,29.835,29.92,29.465,29.7,3763601.0,111526642.05
2014-04-02,29.7,29.85,29.455,29.785,2950362.0,87739077.59
2014-04-03,29.72,29.78,29.555,29.72,3930629.0,116611959.58
2014-04-04,29.82,29.905,29.63,29.8,3487578.0,103811862.93
2014-04-07,29.575,29.855,29.57,29.82,2764354.0,82331673.205
2014-04-08,29.85,30.595,29.85,30.565,6542022.0,198376157.61
2014-04-09,30.57,30.76,30.47,30.61,4753710.0,145583927.93
2014-04-10,30.56,30.71,30.395,30.575,3160675.0,96615281.19
2014-04-11,30.325,30.655,30.315,30.49,4527353.0,138188071.06
2014-04-14,30.43,31.105,30.365,30.955,5479048.0,169543163.81
2014-04-15,30.85,30.995,30.61,30.655,4854241.0,149423797.86
2014-04-16,30.815,30.895,30.415,30.7,5280775.0,161907155.67
