Date,Open,High,Low,Close,Volume,Turnover
2018-06-05,191.45,193.0,189.95,192.45,584424.0,111996692.0
2018-06-06,192.4,194.2,190.95,192.2,503718.0,96831542.1
2018-06-07,195.5,195.5,191.5,193.7,447970.0,86500790.45
2018-06-08,192.5,193.75,191.05,192.1,517410.0,99700535.85
2018-06-11,191.85,193.1,187.9,189.6,641750.0,121748528.8
2018-06-12,189.6,190.1,187.05,187.6,562418.0,105730005.85
2018-06-13,187.0,189.85,187.0,189.3,544595.0,103011770.675
2018-06-14,188.0,192.3,187.5,191.5,810944.0,154370153.8
2018-06-15,192.25,194.7,191.75,193.1,1093662.0,211258636.2
2018-06-18,193.3,193.6,190.55,191.7,406327.0,78065407.7
2018-06-19,189.85,190.95,189.05,190.5,428199.0,81444648.35
2018-06-20,191.95,192.15,190.35,190.85,251872.0,48132422.3
2018-06-21,190.95,191.35,188.25,188.8,365742.0,69157744.15
2018-06-22,188.45,190.65,188.1,190.65,269318.0,51136553.4
2018-06-25,188.5,189.9,187.95,188.1,307636.0,57951539.15
2018-06-26,189.25,189.25,186.4,187.4,322038.0,60330931.4
2018-06-27,187.5,188.55,185.65,187.9,300821.0,56440815.05
2018-06-28,186.35,188.25,185.55,187.1,298531.0,55809128.2
2018-06-29,188.65,189.6,187.85,188.55,432235.0,81510044.6
2018-07-02,184.6,186.95,184.5,185.5,335284.0,62273165.45
2018-07-03,185.8,187.15,185.25,186.3,269797.0,50242469.35
2018-07-04,186.2,189.25,184.9,188.8,255404.0,48120185.7
2018-07-05,188.3,189.85,188.05,188.55,286363.0,54063015.0
2018-07-06,188.75,189.95,186.7,187.6,343245.0,64497760.6
2018-07-09,188.6,189.05,187.15,188.4,278905.0,52474153.65
2018-07-10,188.95,190.25,188.05,189.3,342789.0,64891609.1
2018-07-11,188.8,189.3,186.25,186.25,345518.0,64550278.55
2018-07-12,186.4,186.5,184.85,186.05,316764.0,58850935.65
2018-07-13,187.25,188.2,186.25,188.0,285550.0,53602163.1
2018-07-16,187.75,187.95,186.65,186.65,196133.0,36674537.75
2018-07-17,186.0,186.35,184.4,186.1,273873.0,50883729.05
2018-07-18,184.25,187.65,184.25,187.55,234565.0,43884525.75
2018-07-19,187.0,187.4,185.45,187.05,227701.0,42505975.55
2018-07-20,186.3,187.3,184.35,187.3,394049.0,73413308.6
2018-07-23,186.9,187.35,185.6,186.1,214615.0,40001634.6
2018-07-24,186.25,187.1,185.4,186.05,286449.0,53354583.2
2018-07-25,186.0,186.95,185.65,186.45,253060.0,47157917.45
2018-07-26,186.7,187.75,185.65,187.2,311139.0,58100572.65
2018-07-27,186.75,188.15,186.75,187.75,342794.0,64327669.15
2018-07-30,187.55,189.4,186.65,189.4,209730.0,39547323.65
2018-07-31,189.45,191.0,189.05,189.85,379911.0,72173896.8
2018-08-01,189.7,191.1,186.7,186.7,328785.0,61564623.65
2018-08-02,187.05,188.75,186.65,188.75,433236.0,81510759.45
2018-08-03,188.9,190.65,188.2,190.2,251711.0,47718568.75
2018-08-06,190.95,190.95,188.05,189.8,198607.0,37603287.15
2018-08-07,190.45,190.8,188.6,190.1,173603.0,32966164.5
2018-08-08,189.75,190.6,188.55,189.65,173146.0,32814259.7
2018-08-09,188.9,189.8,188.35,189.35,126727.0,23970931.85
2018-08-10,188.1,188.45,184.85,184.9,364029.0,67590597.95
2018-08-13,185.0,185.45,184.0,185.4,222312.0,41130810.9
2018-08-14,186.0,186.0,184.0,184.1,244784.0,45165849.25
2018-08-15,184.95,184.95,182.75,183.2,351386.0,64441304.45
2018-08-16,183.6,186.1,182.45,186.1,255416.0,47336281.1
2018-08-17,186.5,186.8,185.15,186.45,237896.0,44281842.5
2018-08-20,186.5,188.0,186.25,186.6,197655.0,36947758.55
2018-08-21,186.6,186.6,185.3,185.45,194960.0,36216625.95
2018-08-22,185.45,186.9,185.05,185.6,200996.0,37351397.35
2018-08-23,185.75,186.6,185.35,185.5,198063.0,36796965.35
2018-08-24,185.85,186.6,185.45,185.55,177029.0,32899151.25
2018-08-27,186.5,187.45,186.2,186.75,149780.0,27983759.95
2018-08-28,187.85,188.7,185.9,188.45,284470.0,53512551.8
2018-08-29,188.75,190.5,187.7,190.4,266810.0,50599309.1
2018-08-30,187.0,187.25,178.25,182.15,805830.0,146345733.55
2018-08-31,183.98,183.98,180.22,181.0,425433.0,77144325.66
2018-09-03,181.0,181.3,177.06,177.08,369782.0,65803079.82
2018-09-04,177.54,178.0,173.8,175.12,557223.0,97638443.82
2018-09-05,175.1,175.4,172.64,175.34,482531.0,84230342.02
2018-09-06,174.6,175.74,173.06,173.06,290258.0,50522572.44
2018-09-07,172.74,173.62,171.78,172.38,319262.0,55055910.32
2018-09-10,172.0,173.06,170.06,171.6,318201.0,54614289.3
2018-09-11,171.48,171.48,169.16,171.2,290071.0,49458186.6
2018-09-12,170.98,173.38,170.42,173.04,373950.0,64564636.64
2018-09-13,171.32,174.96,171.26,174.28,324339.0,56382473.9
2018-09-14,175.0,175.44,174.0,174.46,295896.0,51665851.94
2018-09-17,174.0,175.76,173.66,174.84,239640.0,41909148.98
2018-09-18,175.4,177.3,175.26,176.0,339832.0,59897335.66
2018-09-19,176.2,177.12,174.84,175.66,407651.0,71679561.68
2018-09-20,174.94,177.56,174.48,176.46,380572.0,67154193.32
2018-09-21,176.66,177.98,172.8,172.8,1985462.0,344230540.24
2018-09-24,172.9,174.02,172.58,173.98,478972.0,83093784.92
2018-09-25,174.5,174.72,173.3,174.12,298192.0,51889603.6
2018-09-26,174.76,177.5,174.06,177.0,372211.0,65752145.04
2018-09-27,176.2,177.2,175.34,176.2,254602.0,44867386.74
2018-09-28,175.84,176.04,173.22,173.22,404606.0,70299455.28
2018-10-01,174.0,174.26,172.78,172.78,324476.0,56176229.22
2018-10-02,172.26,172.26,169.46,169.64,455349.0,77496051.64
2018-10-03,170.14,171.54,169.8,170.62,271924.0,46384300.56
2018-10-04,169.2,169.28,164.18,164.18,712700.0,118218329.68
2018-10-05,164.04,165.74,163.18,163.58,547640.0,89889699.34
2018-10-08,162.96,164.46,162.54,163.1,356228.0,58187582.22
2018-10-09,163.82,165.54,162.62,165.16,389600.0,64170770.52
2018-10-10,165.3,165.74,163.4,163.4,399506.0,65612911.92
2018-10-11,163.76,163.76,160.62,161.22,533847.0,86298413.58
2018-10-12,161.72,161.76,156.8,156.8,539745.0,85425954.78
2018-10-15,156.58,157.1,155.26,155.3,356028.0,55482914.8
2018-10-16,155.74,159.44,155.32,158.64,390360.0,61662217.5
2018-10-17,158.0,161.98,157.78,161.96,510137.0,82074822.78
2018-10-18,161.4,163.36,160.48,160.48,349414.0,56440355.0
2018-10-19,161.3,162.8,160.5,161.3,508668.0,82209309.68
2018-10-22,163.5,163.5,159.2,159.72,375422.0,60129030.96
2018-10-23,158.34,160.06,157.8,158.92,406729.0,64653298.78
2018-10-24,159.2,160.6,157.58,157.58,375336.0,59595282.02
2018-10-25,159.8,160.86,158.68,160.46,351770.0,56332377.36
2018-10-26,157.0,159.56,155.22,156.84,528296.0,82952431.32
2018-10-29,158.4,159.28,157.14,158.06,401507.0,63603627.72
2018-10-30,158.64,161.06,157.84,160.4,411071.0,65650143.36
2018-10-31,161.3,162.0,159.08,160.28,604316.0,96919421.14
2018-11-01,158.8,160.64,157.7,160.16,344398.0,55110014.24
2018-11-02,159.78,162.18,159.6,159.6,317049.0,50862975.12
2018-11-05,159.0,159.5,157.6,158.06,357282.0,56552368.78
2018-11-06,159.14,159.24,157.38,158.8,291925.0,46236433.66
2018-11-07,158.9,161.34,158.78,159.9,278189.0,44498692.3
2018-11-08,159.08,160.56,157.92,159.66,244092.0,38947668.96
2018-11-09,160.9,161.88,159.52,161.8,342871.0,55313255.2
2018-11-12,162.48,162.48,159.08,159.5,329030.0,52531230.88
2018-11-13,160.24,161.68,160.04,161.02,279858.0,45035484.98
2018-11-14,159.68,162.0,159.1,159.98,377497.0,60529513.08
2018-11-15,160.5,162.28,157.8,158.48,340279.0,54137994.12
2018-11-16,158.76,159.7,155.0,157.22,579842.0,90915372.74
2018-11-19,157.5,158.82,155.08,155.66,361268.0,56535267.72
2018-11-20,155.18,155.4,153.02,153.96,410840.0,63354015.16
2018-11-21,155.0,157.02,153.62,156.52,418382.0,65194605.92
2018-11-22,155.8,156.86,154.58,155.16,296391.0,46153429.3
2018-11-23,155.9,157.32,154.92,157.0,279925.0,43748366.26
2018-11-26,158.82,160.42,157.26,157.5,335281.0,53079865.74
2018-11-27,158.02,160.48,157.46,158.96,425215.0,67655743.44
2018-11-28,159.98,160.52,157.2,157.64,364730.0,57795153.92
2018-11-29,158.82,159.32,153.22,154.66,481419.0,74708703.16
2018-11-30,154.36,154.36,149.08,151.84,843093.0,127675354.88
2018-12-03,153.8,154.36,149.18,149.6,620120.0,93643314.72
2018-12-04,149.22,149.76,147.58,147.74,536602.0,79481648.32
2018-12-05,147.02,148.84,145.34,146.76,430805.0,63478397.76
2018-12-06,145.72,146.04,141.68,142.9,839278.0,120208557.52
2018-12-07,143.76,145.94,143.58,144.74,554947.0,80340523.34
2018-12-10,144.9,145.48,142.5,143.08,536321.0,77143057.9
2018-12-11,142.36,144.4,141.54,143.22,567964.0,81234514.4
2018-12-12,144.8,148.04,144.56,147.32,627753.0,92419410.76
2018-12-13,147.9,148.04,145.04,146.14,634920.0,92861153.4
2018-12-14,143.96,145.34,142.7,144.62,517687.0,74619400.0
2018-12-17,144.0,144.74,142.56,142.56,445157.0,63776114.52
2018-12-18,139.98,140.58,139.1,139.4,792810.0,110766659.26
2018-12-19,139.94,141.0,138.74,140.4,811200.0,113673538.42
2018-12-20,138.0,138.72,136.34,137.54,1018834.0,140212197.94
2018-12-21,134.98,137.9,131.1,137.9,1786060.0,242372694.52
2018-12-24,137.0,137.44,134.54,134.54,223255.0,30270314.0
2018-12-27,136.56,136.96,131.44,132.4,585255.0,77870168.14
2018-12-28,133.0,134.06,131.42,133.26,520989.0,69402843.32
2018-12-31,133.74,135.82,133.18,135.4,178981.0,24088401.02
2019-01-02,133.14,133.34,130.18,132.62,531727.0,70192265.92
