Date,Open,High,Low,Close,Adj Close,Volume
1999-11-04,13.025,13.5,13.025,13.5,6.028676,160048.0
1999-11-08,13.35,13.35,13.05,13.275,5.928197,152488.0
1999-11-09,13.075,13.3,13.075,13.15,5.872376,181810.0
1999-11-10,13.125,13.25,13.0,13.25,5.917033,164760.0
1999-11-11,13.075,13.25,13.0,13.0,5.805391999999999,111142.0
1999-11-12,13.0,13.225,12.9,12.9,5.760733,79302.0
1999-11-15,13.125,13.125,12.7,12.775,5.7049129999999995,188194.0
1999-11-16,12.525,12.625,12.125,12.45,5.559778,635566.0
1999-11-17,12.675,12.675,12.35,12.4,5.537449,126234.0
1999-11-18,12.3,12.6,12.125,12.5,5.582107,486282.0
1999-11-19,12.4,12.45,12.25,12.45,5.559778,929638.0
1999-11-22,12.425,12.45,12.325,12.325,5.503957,193600.0
1999-11-23,12.325,12.425,12.275,12.425,5.548615,511478.0
1999-11-24,12.45,12.475,12.325,12.35,5.515121,276764.0
1999-11-25,12.325,12.4,12.275,12.4,5.537449,149574.0
1999-11-26,12.4,12.45,12.325,12.35,5.515121,154036.0
1999-11-29,12.325,12.4,12.275,12.4,5.537449,124762.0
1999-11-30,12.375,13.075,12.125,13.075,5.838883999999999,443070.0
1999-12-01,12.5,12.925,12.5,12.65,5.649091,232178.0
1999-12-02,12.725,12.725,12.4,12.5,5.582107,117356.0
1999-12-03,12.475,12.55,12.05,12.15,5.425807,297044.0
1999-12-06,12.15,12.325,12.125,12.3,5.492794,120968.0
1999-12-07,12.3,12.4,12.0,12.075,5.392315,146714.0
1999-12-08,12.025,12.175,11.95,12.05,5.381151,115292.0
1999-12-09,12.0,12.15,11.875,12.125,5.414643,86380.0
1999-12-10,11.95,12.0,11.75,11.925,5.325330999999999,120752.0
1999-12-13,11.75,11.9,11.7,11.775,5.258344,190062.0
1999-12-14,11.775,11.9,11.7,11.85,5.291837,240420.0
1999-12-15,11.85,11.95,11.85,11.875,5.303001,142344.0
1999-12-16,11.875,11.875,11.5,11.875,5.303001,370254.0
1999-12-17,11.7,12.25,11.675,12.075,5.392315,275932.0
1999-12-20,12.075,12.175,11.725,12.125,5.414643,135002.0
1999-12-21,11.95,12.2,11.9,12.2,5.448136,172144.0
1999-12-22,12.2,12.2,11.975,12.075,5.392315,348208.0
1999-12-23,12.025,12.1,11.9,11.975,5.347658999999999,81432.0
1999-12-24,11.975,12.05,11.9,12.0,5.358822,33710.0
1999-12-27,12.05,12.075,11.75,11.8,5.269508999999999,103586.0
1999-12-28,11.975,11.975,11.775,11.775,5.258344,122362.0
1999-12-29,11.8,11.85,11.7,11.85,5.291837,90454.0
1999-12-30,11.775,11.825,11.7,11.8,5.269508999999999,101928.0
2000-01-03,11.95,11.95,11.55,11.675,5.213687,241200.0
2000-01-04,11.55,11.675,11.35,11.5,5.1355379999999995,158800.0
2000-01-05,11.1,11.45,10.525,11.45,5.11321,163000.0
2000-01-06,11.275,11.5,11.275,11.45,5.11321,350200.0
2000-01-07,11.475,11.95,11.35,11.85,5.291837,324722.0
2000-01-10,11.9,12.1,11.85,12.0,5.358822,288400.0
2000-01-11,11.925,11.95,11.55,11.85,5.291837,285200.0
2000-01-12,11.75,11.825,11.35,11.35,5.068553,317304.0
2000-01-13,11.475,11.55,11.2,11.25,5.023896,394800.0
2000-01-14,11.225,11.25,10.85,10.9,4.867597,575516.0
2000-01-17,10.875,11.2,10.875,11.1,4.956912,372600.0
2000-01-18,11.1,11.15,10.875,11.0,4.912253,333000.0
2000-01-19,10.975,10.975,10.825,10.95,4.889926,190836.0
2000-01-20,10.85,11.1,10.7,11.1,4.956912,392800.0
2000-01-21,11.1,12.025,11.025,12.0,5.358822,1487200.0
2000-01-24,11.775,12.775,11.75,12.45,5.559778,860400.0
2000-01-25,12.3,12.475,12.125,12.325,5.503957,174000.0
2000-01-26,12.275,12.575,12.025,12.5,5.582107,1887800.0
2000-01-27,12.525,12.85,12.45,12.725,5.6825849999999996,692400.0
2000-01-28,12.375,12.675,12.2,12.5,5.582107,639224.0
2000-01-31,12.275,12.375,11.85,11.85,5.291837,512000.0
2000-02-01,12.25,12.3,11.825,11.95,5.336494999999999,645000.0
2000-02-02,11.875,12.0,11.75,11.925,5.325330999999999,137800.0
2000-02-03,11.975,11.975,11.675,11.95,5.336494999999999,690000.0
2000-02-04,11.875,11.95,11.75,11.875,5.303001,275400.0
2000-02-07,11.875,11.9,11.825,11.875,5.303001,59216.0
2000-02-08,11.85,11.875,11.775,11.875,5.303001,124494.0
2000-02-09,11.85,11.875,11.65,11.85,5.291837,1804400.0
2000-02-10,11.875,12.0,11.575,11.8,5.269508999999999,653000.0
2000-02-11,11.825,11.875,11.7,11.85,5.291837,535426.0
2000-02-14,11.85,11.9,11.75,11.875,5.303001,124950.0
2000-02-15,11.825,12.025,11.75,12.0,5.358822,250022.0
2000-02-16,11.875,11.975,11.775,11.925,5.325330999999999,108222.0
2000-02-17,11.875,12.0,11.775,12.0,5.358822,943000.0
2000-02-18,12.025,12.05,11.15,11.15,4.979239,544200.0
2000-02-21,11.325,11.875,11.325,11.85,5.291837,259200.0
2000-02-22,11.875,11.9,11.8,11.9,5.314166,102800.0
2000-02-23,11.9,12.225,11.85,11.925,5.325330999999999,133892.0
2000-02-24,12.0,12.275,11.875,12.275,5.481629,252400.0
2000-02-25,12.025,13.1,12.025,12.6,5.6267629999999995,699200.0
2000-02-28,12.4,12.5,12.05,12.35,5.515121,126800.0
2000-02-29,12.375,12.5,12.125,12.225,5.459301,309000.0
2000-03-01,12.425,12.425,12.0,12.275,5.481629,446556.0
2000-03-02,12.225,12.45,12.125,12.25,5.470465,134800.0
2000-03-03,12.25,12.325,11.85,12.3,5.492794,577800.0
2000-03-06,12.1,12.8,12.05,12.475,5.570943,638800.0
2000-03-07,12.4,12.575,12.25,12.325,5.503957,198274.0
2000-03-08,12.0,12.35,12.0,12.175,5.436972,402600.0
2000-03-09,12.2,12.225,12.125,12.225,5.459301,239200.0
2000-03-10,12.25,12.4,12.2,12.3,5.492794,159516.0
2000-03-13,12.425,12.5,12.225,12.275,5.481629,75402.0
2000-03-14,12.3,12.425,12.2,12.225,5.459301,166802.0
2000-03-15,12.25,12.4,12.2,12.35,5.515121,151600.0
2000-03-16,12.425,12.45,12.25,12.45,5.559778,104600.0
2000-03-17,12.35,12.525,12.3,12.375,5.526285,351600.0
2000-03-20,12.425,12.55,12.4,12.55,5.604435,78656.0
2000-03-21,12.425,12.7,12.375,12.55,5.604435,194026.0
2000-03-22,12.675,12.75,12.55,12.6,5.6267629999999995,166400.0
2000-03-23,12.775,13.1,12.6,13.1,5.850048,547600.0
2000-03-24,13.15,13.625,13.15,13.625,6.084496,938394.0
2000-03-27,13.55,13.8,13.425,13.75,6.140318,538000.0
2000-03-28,13.8,14.025,13.725,14.0,6.2519599999999995,827400.0
2000-03-29,13.975,14.55,13.975,14.55,6.497573,2537162.0
2000-03-30,14.6,14.625,14.2,14.325,6.397094999999999,418600.0
2000-03-31,14.425,14.625,14.2,14.5,6.475244,383000.0
2000-04-03,14.225,14.375,14.0,14.0,6.2519599999999995,208642.0
2000-04-04,13.95,14.075,13.85,14.025,6.2631239999999995,106000.0
2000-04-05,14.025,14.125,13.75,13.95,6.2296309999999995,343400.0
2000-04-06,13.975,14.1,13.8,14.0,6.2519599999999995,208600.0
2000-04-07,14.0,14.0,13.8,14.0,6.2519599999999995,173400.0
2000-04-10,13.425,13.5,13.4,13.4,6.550138,264906.0
2000-04-11,13.425,13.5,13.25,13.4,6.550138,99600.0
2000-04-12,13.4,13.45,13.25,13.3,6.5012550000000005,169000.0
2000-04-13,13.025,13.3,12.8,13.25,6.476814,195400.0
2000-04-14,13.025,13.4,13.025,13.375,6.537918,258800.0
2000-04-17,13.0,13.325,13.0,13.275,6.4890360000000005,87508.0
2000-04-18,13.3,13.625,13.25,13.6,6.647900999999999,292970.0
2000-04-19,13.65,14.0,13.625,13.975,6.831207000000001,641800.0
2000-04-20,13.775,14.0,13.75,13.75,6.721222999999999,355400.0
2000-04-21,13.75,13.75,13.75,13.75,6.721222999999999,0.0
2000-04-24,13.75,13.75,13.75,13.75,6.721222999999999,0.0
2000-04-25,13.375,13.7,13.15,13.4,6.550138,146600.0
2000-04-26,13.5,13.8,13.4,13.65,6.6723419999999996,356800.0
2000-04-27,13.6,13.7,13.4,13.5,6.599019999999999,110400.0
2000-04-28,13.425,13.725,13.4,13.725,6.709002000000001,156800.0
2000-05-01,13.725,13.725,13.45,13.45,6.574578,74400.0
2000-05-02,13.4,13.45,13.2,13.25,6.476814,153800.0
2000-05-03,13.425,13.45,13.25,13.45,6.574578,447400.0
2000-05-04,13.375,13.475,13.275,13.275,6.4890360000000005,90318.0
2000-05-05,13.45,13.625,13.275,13.55,6.623460000000001,153200.0
2000-05-08,13.525,13.75,13.35,13.45,6.574578,225600.0
2000-05-09,13.475,13.625,13.3,13.525,6.61124,255864.0
2000-05-10,13.5,13.5,13.275,13.45,6.574578,145064.0
2000-05-11,13.35,13.35,13.25,13.25,6.476814,231600.0
2000-05-12,13.225,13.3,13.2,13.25,6.476814,190600.0
2000-05-15,13.25,13.4,13.075,13.3,6.5012550000000005,288400.0
2000-05-16,13.25,13.275,13.1,13.25,6.476814,79400.0
2000-05-17,13.1,13.25,13.025,13.2,6.452374,263800.0
2000-05-18,13.2,13.3,13.075,13.225,6.464595,1661242.0
