Date,Open,High,Low,Close,Volume,Turnover
2014-02-14,21.58,21.605,21.47,21.605,641159.0,13821571.035
2014-02-17,21.635,21.815,21.59,21.76,537514.0,11691107.74
2014-02-18,21.83,21.855,21.565,21.645,747357.0,16196340.23
2014-02-19,21.5,21.515,20.485,20.655,2409627.0,50028864.93
2014-02-20,20.465,20.5,19.76,20.05,2272529.0,45498113.885
2014-02-21,20.095,20.335,20.035,20.235,2345063.0,47172578.24
2014-02-24,20.23,20.57,20.23,20.57,983757.0,20149698.175
2014-02-25,20.625,20.745,20.55,20.67,901147.0,18625289.62
2014-02-26,20.68,20.725,20.47,20.635,673149.0,13865546.77
2014-02-27,20.675,20.9,20.58,20.825,1003742.0,20828936.985
2014-02-28,20.945,21.025,20.78,20.93,824954.0,17249416.6
2014-03-05,20.66,20.725,20.505,20.58,590882.0,12176033.985
2014-03-06,20.49,20.69,20.475,20.645,724518.0,14927386.26
2014-03-07,20.635,20.88,20.615,20.7,588010.0,12189325.53
2014-03-10,20.7,20.81,20.41,20.46,583925.0,11985012.72
2014-03-11,20.46,20.48,20.26,20.325,547662.0,11144796.3
2014-03-12,20.3,20.31,20.03,20.2,620189.0,12504642.11
2014-03-13,20.28,20.28,19.96,20.0,709606.0,14231854.725
2014-03-14,19.825,19.875,19.56,19.81,1163745.0,22963248.85
2014-03-17,19.85,20.205,19.79,20.12,829740.0,16631244.64
2014-03-18,20.025,20.195,19.87,20.09,847674.0,17003391.63
2014-03-19,20.155,20.24,19.95,20.085,769577.0,15479162.38
2014-03-20,19.95,20.095,19.83,20.08,1279371.0,25533893.89
2014-03-21,20.125,20.19,19.9,20.005,2696126.0,53969750.58
2014-03-24,20.0,20.08,19.775,19.845,648532.0,12908416.43
2014-03-25,19.845,20.07,19.83,19.905,500604.0,9976520.22
2014-03-26,19.935,20.21,19.89,20.21,634345.0,12779211.995
2014-03-27,20.23,20.475,20.15,20.355,813699.0,16551969.96
2014-03-28,20.46,20.46,20.315,20.44,836188.0,17064753.78
2014-03-31,20.555,20.645,20.48,20.48,830259.0,17035122.52
2014-04-01,20.55,20.62,20.475,20.57,764650.0,15723549.16
2014-04-02,20.535,20.6,20.34,20.42,782928.0,16002243.27
2014-04-03,20.47,20.5,20.34,20.395,857238.0,17499468.88
2014-04-04,20.475,20.54,20.315,20.425,430083.0,8790354.32
2014-04-07,20.4,20.53,20.27,20.32,611779.0,12437958.13
2014-04-08,20.29,20.32,19.81,20.01,1038509.0,20743901.55
2014-04-09,20.045,20.25,19.955,20.25,672243.0,13557420.0
2014-04-10,20.345,20.47,20.15,20.225,763536.0,15473437.27
2014-04-11,20.06,20.145,19.875,20.02,937122.0,18731225.75
2014-04-14,19.97,20.0,19.73,19.92,747952.0,14874187.83
2014-04-15,19.925,20.03,19.6,19.875,1057781.0,21022606.03
2014-04-16,20.05,20.25,19.92,20.225,1005910.0,20241776.72
2014-04-17,20.28,20.705,20.23,20.67,1463834.0,30097227.67
2014-04-22,20.85,21.135,20.795,21.015,1578555.0,33143889.52
2014-04-23,21.085,21.2,20.8,20.81,1123197.0,23596329.02
2014-04-24,20.98,21.16,20.765,20.825,1193607.0,24964722.98
2014-04-25,20.2,20.295,19.875,19.935,950656.0,19006704.95
2014-04-28,19.945,19.99,19.585,19.705,973105.0,19183027.22
2014-04-29,19.78,19.9,19.75,19.88,773511.0,15310685.8
2014-04-30,19.805,20.11,19.785,20.07,756326.0,15135962.4
2014-05-02,20.07,20.18,19.865,19.91,892504.0,17841873.04
2014-05-05,19.8,19.85,19.555,19.805,448707.0,8847811.86
2014-05-06,19.865,20.015,19.76,19.92,508449.0,10115197.08
2014-05-07,19.91,20.21,19.895,19.97,1174208.0,23498161.42
2014-05-08,19.945,20.225,19.92,20.145,629917.0,12655149.31
2014-05-09,20.11,20.25,19.905,20.195,839551.0,16913361.61
2014-05-12,20.25,20.43,20.25,20.355,421052.0,8561268.84
2014-05-13,20.5,20.935,20.44,20.77,1352776.0,28029622.76
2014-05-14,20.83,20.83,20.74,20.77,1064035.0,22088692.69
2014-05-16,20.505,20.665,20.455,20.575,1214277.0,24959810.28
2014-05-19,20.595,20.705,20.47,20.7,495621.0,10223512.97
2014-05-20,20.64,20.97,20.64,20.85,667034.0,13910040.72
2014-05-21,20.85,21.185,20.785,21.185,904934.0,19097546.62
2014-05-22,21.22,21.32,21.075,21.175,743091.0,15722181.97
2014-05-23,21.215,21.385,21.145,21.325,424874.0,9048325.74
2014-05-26,21.36,21.6,21.345,21.485,319959.0,6881904.3
2014-05-28,21.53,21.76,21.525,21.76,884845.0,19197762.18
2014-05-29,21.76,21.995,21.73,21.865,484535.0,10587820.43
2014-05-30,21.84,22.015,21.79,21.96,942910.0,20680085.215
2014-06-02,22.0,22.05,21.845,21.95,362993.0,7963349.125
2014-06-03,21.965,22.015,21.625,21.7,643443.0,13976374.08
2014-06-04,21.66,21.745,21.545,21.66,495742.0,10735763.71
2014-06-05,21.64,21.825,21.505,21.645,942964.0,20413453.89
2014-06-06,21.64,21.75,21.485,21.75,741460.0,16057812.835
2014-06-09,21.74,21.965,21.685,21.95,329463.0,7210001.125
2014-06-10,21.86,22.04,21.86,22.035,584650.0,12860577.79
2014-06-11,21.925,22.145,21.89,21.975,744971.0,16386051.6
2014-06-12,22.0,22.26,21.975,22.145,869772.0,19251161.52
2014-06-13,22.145,22.145,21.915,22.075,366607.0,8082264.84
2014-06-16,22.055,22.13,21.86,21.9,390549.0,8569844.535
2014-06-17,21.925,22.17,21.91,22.15,604517.0,13360430.12
2014-06-18,22.115,22.2,21.945,22.11,672765.0,14849590.095
2014-06-19,22.16,22.315,22.055,22.27,714465.0,15879027.5
2014-06-20,22.24,22.33,22.075,22.23,945821.0,20994127.68
2014-06-23,22.33,22.33,21.86,21.945,603268.0,13264531.77
2014-06-24,21.97,22.015,21.785,21.85,576889.0,12602227.63
2014-06-25,21.735,21.765,21.555,21.565,791398.0,17094152.03
2014-06-26,21.59,21.775,21.59,21.7,607311.0,13176018.88
2014-06-27,21.76,21.76,21.405,21.59,592788.0,12783189.33
2014-06-30,21.575,21.7,21.52,21.62,524829.0,11347023.015
2014-07-01,21.64,21.64,21.375,21.56,755259.0,16253647.21
2014-07-02,21.515,21.695,21.505,21.555,536073.0,11567341.33
2014-07-03,21.595,21.835,21.52,21.825,579672.0,12604624.645
2014-07-04,21.825,21.95,21.8,21.845,374115.0,8180090.01
2014-07-07,21.77,21.805,21.52,21.52,474596.0,10250294.29
2014-07-08,21.49,21.575,21.155,21.22,750762.0,15959312.26
2014-07-09,21.28,21.435,21.185,21.285,953144.0,20307587.315
2014-07-10,21.35,21.355,20.815,20.945,724274.0,15177863.655
2014-07-11,20.94,20.98,20.59,20.68,992862.0,20577210.42
2014-07-14,20.705,21.015,20.675,20.96,590177.0,12355507.955
2014-07-15,20.91,20.995,20.81,20.89,645549.0,13485588.37
2014-07-16,20.935,21.17,20.92,21.075,675160.0,14222904.955
2014-07-17,21.005,21.2,20.965,21.1,469730.0,9914202.395
